Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,0.001121,12.7236,1
2,0.008638,12.8033,1
3,0.000089,12.5751,1
4,0.928809,12.2359,32
5,0.140831,13.3024,4
6,0.023366,13.1264,4
7,0.846337,12.6203,26
8,0.099314,13.2142,5
9,2.777082,13.6393,27
10,0.103879,13.321,4
11,0.400691,12.6639,3
12,1.127148,12.8496,29
13,2.435027,12.3493,36
14,0.000108,13.1615,1
15,0.105446,12.0848,2
16,0.159522,12.9735,19
17,2.418253,12.3325,33
18,0.276512,12.8022,13
19,0.024354,12.7305,3
20,0.127896,12.8752,8
21,0.029615,13.226,4
22,0.093912,11.7434,17
23,0.891067,12.7211,19
24,0.000268,12.4539,1
25,0.016157,12.3657,8
26,0.087969,12.7633,1
27,0.217009,12.7143,12
28,0.032258,12.7938,5
29,0.006724,12.5023,2
30,0.011535,12.3928,1
31,0.011831,12.6482,1
32,0.473138,12.8422,28
33,0.001188,12.4963,1
34,0.145751,12.5377,14
35,0.110126,12.8391,11
36,0.085016,13.1952,12
37,0.314302,12.7072,18
38,0.001375,12.9956,1
39,2.034850,12.5214,28
40,0.603792,12.4957,8
41,0.000308,13.067,1
42,2.934437,13.2268,23
43,1.678194,12.8291,39
44,0.020604,13.0029,1
45,0.292400,12.4503,13
46,0.000901,13.4355,1
47,0.000668,13.5774,1
48,0.006239,13.0461,2
49,0.143561,13.0319,8
50,0.014014,12.818,2
51,0.009068,12.8436,3
52,0.623233,12.7507,12
53,0.000087,13.34,1
54,2.892481,13.3178,26
55,0.231419,12.8389,32
56,0.187031,12.1672,4
57,0.001438,13.0868,1
58,0.000110,12.8324,1
59,0.622193,12.8659,40
60,0.152192,12.5121,7
61,0.058281,12.7057,24
62,0.173301,12.4793,25
63,0.503180,12.6894,27
64,0.008927,12.8917,1
65,0.147926,12.153,7
66,0.104331,12.7555,4
67,4.439838,12.3991,21
68,0.059992,13.0414,11
69,0.001111,12.9226,3
70,0.284334,12.9936,28
71,0.340549,13.4585,9
72,0.000919,12.0282,1
73,0.963638,12.3684,31
74,0.202186,12.6164,11
75,0.788446,12.3401,30
76,0.203552,12.6866,2
77,0.013636,13.6284,1
78,0.073986,12.2893,2
79,0.001549,13.2346,1
80,0.002408,12.3727,2
81,0.678037,12.148,21
82,0.027312,12.9608,4
83,0.210339,12.1381,16
84,0.121385,12.156,16
85,0.435882,12.2751,27
86,0.468800,12.8892,19
87,0.050391,12.7067,1
88,0.039024,13.0377,2
89,3.415125,12.3699,29
90,0.925086,12.1943,27
91,0.038767,12.1558,3
92,0.398728,12.9236,15
93,0.744680,12.542,24
94,2.250918,13.1497,22
95,0.001611,12.2757,1
96,0.592493,13.2682,24
97,0.000543,12.4496,1
98,0.283667,12.2229,15
99,0.127080,12.4354,17
100,0.053300,12.0522,3
101,0.000320,13.0509,2
102,0.028995,12.2874,6
103,0.301795,12.4848,6
104,0.001074,12.8536,2
105,0.004368,12.8997,1
106,0.001640,12.2951,1
107,0.140266,11.7823,6
108,0.236422,12.4126,10
109,0.019201,11.9417,11
110,0.061712,12.547,6
111,0.995225,12.2384,40
112,1.017613,12.6833,22
113,0.029234,12.6978,1
114,0.152675,12.3919,8
115,0.347033,12.5767,2
116,0.243941,12.1894,3
117,0.368061,12.4533,23
118,0.085189,12.5434,9
119,0.153483,12.4249,10
120,0.103346,13.0012,17
121,0.031480,12.6113,2
122,2.530575,12.7073,23
123,0.175189,12.9173,19
124,3.073713,12.5038,22
125,0.000482,12.9872,1
126,0.000411,12.3566,1
127,0.127710,11.8821,1
128,0.004165,12.5651,1
129,1.519203,12.0614,26
130,0.166760,12.2366,4
131,0.000082,13.0039,1
132,0.690768,13.0961,27
133,0.119076,11.8281,5
134,0.000275,12.6453,4
135,0.013115,12.6723,5
136,0.399844,13.0057,18
137,0.007083,12.6582,2
138,0.083534,12.4719,4
139,0.142966,12.4006,15
140,0.000874,12.4628,1
141,0.005222,11.8244,1
142,0.027633,12.5739,2
143,0.087082,12.6311,2
144,1.248734,12.515,33
145,0.000029,12.1305,1
146,0.019082,11.9374,1
147,0.145264,11.8404,1
148,0.002817,12.8394,1
