Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0519108,6069,true,6
2,0.0565862,1253,true,6
3,0.0343555,2429,true,4
4,0.0517478,12916,true,6
5,0.0173827,24892,true,2
6,0.0438204,8451,true,5
7,0.0680669,2051,true,8
8,0.076957,446,true,9
9,0.0441308,6204,true,5
10,0.0256686,1331,true,3
11,0.0597913,7841,true,7
12,0.0258207,4707,true,3
13,0.0427185,7454,true,5
14,0.0513443,2189,true,6
15,0.0596054,3094,true,7
16,0.0936221,0,false,11
17,0.0680927,49,true,8
18,0.0171471,5446,true,2
19,0.0258512,644,true,3
20,0.0510273,0,false,6
21,0.0342086,6657,true,4
22,0.076289,281,true,9
23,0.0428827,2176,true,5
24,0.0427081,179,true,5
25,0.0512442,7319,true,6
26,0.0429406,989,true,5
27,0.0260633,4506,true,3
28,0.0597164,424,true,7
29,0.0848679,2327,true,10
30,0.0341633,15451,true,4
31,0.0427521,3565,true,5
32,0.0511166,2377,true,6
33,0.0852373,715,true,10
34,0.0429382,1633,true,5
35,0.0439252,1581,true,5
36,0.0501348,2102,true,6
37,0.0343185,4582,true,4
38,0.0345041,0,false,4
39,0.0427473,773,true,5
40,0.0256982,1903,true,3
41,0.0654596,2689,true,8
42,0.0747128,1578,true,9
43,0.0580247,5729,true,7
44,0.0416704,674,true,5
45,0.0744612,10490,true,9
46,0.033377,220,true,4
47,0.0333351,3422,true,4
48,0.0334126,20140,true,4
49,0.0663387,196,true,8
50,0.0167644,4676,true,2
51,0.0498147,10878,true,6
52,0.0250887,35324,true,3
53,0.0499897,13097,true,6
54,0.0332725,680,true,4
55,0.0584436,16251,true,7
56,0.0664831,8395,true,8
57,0.0499937,3299,true,6
58,0.0250346,588,true,3
59,0.0333021,3860,true,4
60,0.0664562,2841,true,8
61,0.0582141,5823,true,7
62,0.0497547,770,true,6
63,0.025182,284,true,3
64,0.0415973,10100,true,5
65,0.0334536,5138,true,4
66,0.0333605,1696,true,4
67,0.0168277,1759,true,2
68,0.0497949,2,true,6
69,0.0250622,16771,true,3
70,0.0168497,1093,true,2
71,0.0828945,550,true,10
72,0.0250133,13450,true,3
73,0.0333056,6891,true,4
74,0.0745793,450,true,9
75,0.0333239,2343,true,4
76,0.0749681,545,true,9
77,0.0498944,2050,true,6
78,0.0415578,13731,true,5
79,0.0414924,10105,true,5
80,0.0497548,14662,true,6
81,0.0415153,14076,true,5
82,0.049864,2571,true,6
83,0.0663878,6047,true,8
84,0.0419486,5302,true,5
85,0.0664463,1364,true,8
86,0.0416398,43,true,5
87,0.024957,11207,true,3
88,0.0251487,18401,true,3
89,0.051217,4797,true,6
90,0.0500406,2232,true,6
91,0.0661959,239,true,8
92,0.0497408,2171,true,6
93,0.0252663,695062,true,3
94,0.0498056,3297,true,6
95,0.066671,6300,true,8
96,0.0418267,6015,true,5
97,0.0168209,2326,true,2
98,0.0416407,365,true,5
99,0.082984,1733,true,10
100,0.0334647,12483,true,4
101,0.058142,0,false,7
102,0.0664301,0,false,8
103,0.0251422,4783,true,3
104,0.0169055,6760,true,2
105,0.0168832,3821,true,2
106,0.0499884,1542,true,6
107,0.0500548,2427,true,6
108,0.0499084,0,false,6
109,0.0581638,2687,true,7
110,0.0619843,757,true,7
111,0.0426808,11216,true,5
112,0.0341297,1144,true,4
113,0.0427,0,false,5
114,0.0342321,16525,true,4
115,0.0933586,3486,true,11
116,0.0257027,18152,true,3
117,0.0512177,40036,true,6
118,0.0172033,2474,true,2
119,0.0257498,13072,true,3
120,0.0257638,3950,true,3
121,0.0681151,868,true,8
122,0.0765387,402,true,9
123,0.0679441,3216,true,8
124,0.0258167,6514,true,3
125,0.0513985,326,true,6
126,0.034197,6434,true,4
127,0.0513319,1560,true,6
128,0.0341942,1972,true,4
129,0.0342319,8568,true,4
130,0.0344853,1055,true,4
131,0.05122,0,false,6
132,0.0680518,7072,true,8
133,0.0515895,7210,true,6
134,0.0510759,5750,true,6
135,0.025809,9331,true,3
136,0.0173895,2821,true,2
137,0.0427912,928,true,5
138,0.110114,226,true,13
139,0.0342589,1494,true,4
140,0.0341506,4047,true,4
141,0.0256287,40871,true,3
142,0.0258473,3047,true,3
143,0.0256564,8441,true,3
144,0.0257645,18911,true,3
145,0.0512893,960,true,6
146,0.0428914,0,false,5
147,0.0257997,9927,true,3
148,0.0426761,3517,true,5
149,0.0427955,699,true,5
150,0.025777,1658,true,3
151,0.0256881,4260,true,3
152,0.0427338,3038,true,5
153,0.0342581,13798,true,4
154,0.042868,3777,true,5
155,0.0343383,1823,true,4
156,0.0425404,0,false,5
157,0.0257973,3961,true,3
158,0.0768778,1369,true,9
159,0.0596047,4737,true,7
160,0.00020325,0,false,0
161,0.051098,19281,true,6
162,0.0256524,11916,true,3
163,0.0764982,587,true,9
164,0.0257902,2436,true,3
165,0.0344728,1422,true,4
166,0.0859303,912,true,10
167,0.0172565,16731,true,2
168,0.034391,16724,true,4
169,0.0512745,11987,true,6
170,0.0343391,2644,true,4
171,0.0257057,14328,true,3
172,0.0257719,233,true,3
173,0.0343473,14305,true,4
174,0.0256699,36760,true,3
175,0.0594794,3299,true,7
176,0.0511662,3004,true,6
177,0.0256347,8367,true,3
178,0.0172618,8857,true,2
179,0.0683197,2331,true,8
180,0.0342005,1752,true,4
181,0.0343632,236,true,4
182,0.0766074,4553,true,9
183,0.025625,3704,true,3
184,0.0172357,9327,true,2
185,0.0256598,16781,true,3
186,0.0341939,1325,true,4
187,0.0171893,4335,true,2
188,0.017275,7095,true,2
189,0.0597213,739,true,7
190,0.0510523,2615,true,6
191,0.0427,18229,true,5
192,0.0172074,33318,true,2
193,0.034162,4170,true,4
194,0.0257348,29609,true,3
195,0.0426493,282,true,5
196,0.0514417,848,true,6
197,0.0511247,1285,true,6
198,0.0428398,1637,true,5
199,0.0268576,6455,true,3
200,0.0768654,557,true,9
201,0.0343162,1708,true,4
202,0.017225,357,true,2
203,0.0429373,2224,true,5
204,0.0257288,24651,true,3
205,0.0513723,327,true,6
206,0.0343257,4709,true,4
207,0.0426056,185,true,5
208,0.0512459,1375,true,6
209,0.0257877,2390,true,3
210,0.059512,8668,true,7
211,0.0595567,2719,true,7
212,0.0342408,12190,true,4
213,0.0342286,4949,true,4
214,0.0429222,20973,true,5
215,0.0426951,6536,true,5
216,0.0511417,3713,true,6
217,0.0172247,25243,true,2
218,0.0257602,3410,true,3
219,0.0429181,8856,true,5
220,0.0425768,8839,true,5
221,0.051601,1285,true,6
222,0.0513305,2163,true,6
223,0.0425705,332,true,5
224,0.0341967,2030,true,4
225,0.0427416,45334,true,5
226,0.0342163,1304,true,4
227,0.0257059,55914,true,3
228,0.0595956,0,false,7
229,0.0510032,6732,true,6
230,0.0515742,835,true,6
231,0.0340917,928,true,4
232,0.0342387,2922,true,4
233,0.0257075,649,true,3
234,0.0257105,2963,true,3
235,0.0765693,809,true,9
236,0.0426548,43975,true,5
237,0.0258379,10133,true,3
238,0.0172637,11781,true,2
239,0.0257055,2580,true,3
240,0.0511189,4104,true,6
241,0.0344844,343,true,4
242,0.0596722,4058,true,7
243,0.0426852,359,true,5
244,0.0342697,12238,true,4
245,0.0342449,2714,true,4
246,0.0595885,2283,true,7
247,0.0681655,1359,true,8
248,0.0595919,0,false,7
249,0.0511328,6389,true,6
250,0.068073,153,true,8
251,0.0595243,4003,true,7
252,0.0514587,3058,true,6
253,0.0257968,3793,true,3
254,0.0681627,3730,true,8
255,0.0768685,336,true,9
256,0.034353,10168,true,4
257,0.0510847,9148,true,6
258,0.0256768,165,true,3
259,0.0512808,5265,true,6
260,0.0258182,771937,true,3
261,0.0343306,13326,true,4
262,0.0171838,12105,true,2
263,0.0511313,4385,true,6
264,0.0680542,1622,true,8
265,0.0427727,1481,true,5
266,0.0638766,8377,true,7
267,0.0798178,1358,true,9
268,0.0598018,1120,true,7
269,0.0595386,33,true,7
270,0.0512936,11674,true,6
271,0.0256482,14206,true,3
272,0.0679022,4677,true,8
273,0.025886,3939,true,3
274,0.0341953,59043,true,4
275,0.0258126,55405,true,3
276,0.0171956,35174,true,2
277,0.0511296,2617,true,6
278,0.0681429,2750,true,8
279,0.0683489,344,true,8
280,0.0257042,4119,true,3
281,0.0510114,1098,true,6
282,0.0426633,5356,true,5
283,0.0426187,3425,true,5
284,0.0594355,1476,true,7
285,0.0342272,430,true,4
286,0.0341337,11863,true,4
287,0.0428709,5848,true,5
288,0.0172122,10619,true,2
289,0.0349219,941,true,4
290,0.0427118,6710,true,5
291,0.0340842,0,false,4
292,0.0257775,17460,true,3
293,0.0257177,7923,true,3
294,0.0343265,1966,true,4
295,0.0256612,1421,true,3
296,0.068175,2538,true,8
297,0.0427117,3560,true,5
298,0.0345192,10194,true,4
299,0.0597914,3235,true,7
300,0.051337,426,true,6
301,0.0512933,6569,true,6
302,0.0343264,7360,true,4
303,0.0172847,3364,true,2
304,0.0348297,11257,true,4
305,0.0255917,7960,true,3
306,0.0258629,5363,true,3
307,0.0679822,1445,true,8
308,0.0511013,1440,true,6
309,0.0257443,442,true,3
310,0.068051,5649,true,8
311,0.0428637,2897,true,5
312,0.0511898,2760,true,6
313,0.08519,1621,true,10
314,0.0256543,2281,true,3
315,0.0765248,1893,true,9
316,0.0341951,332,true,4
317,0.0510808,8913,true,6
318,0.0681938,0,false,8
319,0.0174899,14450,true,2
320,0.0341573,11192,true,4
321,0.0257987,8618,true,3
322,0.0512556,142,true,6
323,0.0763809,2425,true,9
324,0.0533122,0,false,6
325,0.0513583,1759,true,6
326,0.0679008,3281,true,8
327,0.0173276,4756,true,2
328,0.0596107,2678,true,7
329,0.059632,6387,true,7
330,0.0286878,1558,true,3
331,0.0425896,14060,true,5
332,0.0342696,3679,true,4
333,0.0171759,33113,true,2
334,0.0425841,64767,true,5
335,0.0681553,3766,true,8
336,0.0342544,148,true,4
337,0.0767059,12152,true,9
338,0.0427892,2587,true,5
339,0.0428341,4105,true,5
340,0.0848889,16538,true,10
341,0.0426459,4435,true,5
342,0.0342454,8079,true,4
343,0.0341597,11758,true,4
344,0.0429586,6227,true,5
345,0.0341376,2942,true,4
346,0.0256178,4865,true,3
347,0.0257034,4909,true,3
348,0.0256866,3309,true,3
349,0.0595553,0,false,7
350,0.085044,3328,true,10
351,0.0427751,3836,true,5
352,0.0256688,17178,true,3
353,0.0595403,934,true,7
354,0.0511866,2158,true,6
355,0.0428252,15938,true,5
356,0.0341646,151,true,4
357,0.0681145,86,true,8
358,0.0427898,12343,true,5
359,0.0595765,5333,true,7
360,0.059475,613,true,7
361,0.0256543,5594,true,3
362,0.0343949,3715,true,4
363,0.0426575,6910,true,5
364,0.0595642,0,false,7
365,0.0343008,18867,true,4
366,0.0341427,6487,true,4
367,0.042585,26806,true,5
368,0.0172211,1303,true,2
369,0.0342056,5276,true,4
370,0.0596672,2548,true,7
371,0.0171782,8247,true,2
372,0.0173665,3808,true,2
373,0.0171909,11858,true,2
374,0.0257436,1853,true,3
375,0.0255926,2352,true,3
376,0.0678077,2538,true,8
377,0.0426611,1776,true,5
378,0.0342032,3194,true,4
379,0.08609,4670,true,10
380,0.0172059,6285,true,2
381,0.0510865,8204,true,6
382,0.0427947,2273,true,5
383,0.0791975,621,true,9
384,0.0423223,1494,true,5
385,0.0588864,7913,true,7
386,0.0253065,9796,true,3
387,0.0338581,1278,true,4
388,0.0168746,44884,true,2
389,0.0502805,213,true,6
390,0.0838383,4676,true,10
391,0.025242,10701,true,3
392,0.100662,1831,true,12
393,0.06714,1010,true,8
394,0.0252298,8063,true,3
395,0.0752023,2763,true,9
396,0.0252138,4074,true,3
397,0.0169065,681,true,2
398,0.0252195,22835,true,3
399,0.0586698,415,true,7
400,0.0505638,730,true,6
401,0.0421349,2230,true,5
402,0.0502491,12677,true,6
403,0.0251337,18973,true,3
404,0.0502971,3075,true,6
