Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,0.096464,12.9715,138
2,0.023263,13.2004,111
3,0.003160,12.7645,127
4,0.165460,13.2831,121
5,0.276765,13.3815,113
6,0.126941,12.6743,130
7,0.101247,13.2457,135
8,0.095507,12.9857,127
9,0.053698,12.4607,114
10,0.000948,12.8732,119
11,0.025000,12.4552,108
12,0.002877,13.0521,128
13,0.227770,12.7436,102
14,0.004652,12.9168,114
15,0.099220,12.5495,104
16,0.033248,12.7886,108
17,0.005476,12.8759,119
18,0.053312,12.7052,127
19,0.140893,12.3937,112
20,0.002483,12.6229,118
21,0.094995,12.842,123
22,0.001717,12.0782,104
23,0.001319,13.1333,113
24,0.007993,12.3624,114
25,0.004486,12.9522,114
26,0.034061,13.3949,131
27,0.026051,12.1775,102
28,0.279209,12.1066,111
29,0.008168,12.7049,123
30,0.035329,12.5321,132
31,0.585271,12.6659,129
32,0.027248,12.2395,118
33,0.032511,12.097,119
34,0.002871,11.8457,114
35,0.005883,12.2666,102
36,0.021331,12.7316,118
37,0.062761,12.0931,111
38,0.000276,12.3451,121
39,0.018505,12.055,115
40,0.057565,12.5137,121
41,0.003533,12.05,115
42,0.297948,12.3423,117
43,0.044578,12.3153,109
44,0.017635,12.329,107
45,0.001740,12.4795,124
46,0.008006,12.6218,126
47,0.044739,12.0565,121
48,0.142920,12.7479,126
49,0.024651,12.3475,101
50,0.009627,12.8715,114
51,0.000432,12.8038,128
52,0.000753,13.0291,111
53,0.001236,12.8231,122
54,0.000254,13.0284,109
55,0.121439,12.7581,109
56,0.105560,12.6962,131
57,0.147035,12.5721,131
58,0.026511,12.4375,110
59,0.004911,13.354,105
60,0.024960,12.6998,137
61,0.032221,12.77,128
62,0.000075,12.5067,106
63,0.000178,12.1082,100
64,0.084729,12.6874,104
65,0.021248,12.3187,108
66,0.000184,12.5101,90
67,0.000774,12.3018,97
68,0.004363,12.6307,114
69,0.047222,11.8932,98
70,0.249141,12.6286,138
71,0.108080,12.3959,104
72,0.010102,12.8147,115
73,0.002291,12.7747,123
74,0.011300,12.8346,120
75,0.019955,13.0518,132
76,0.008764,12.3699,116
77,0.037209,12.7413,118
78,0.336101,13.0116,102
79,0.019271,12.2705,115
80,0.000892,13.0374,122
81,0.036368,12.7591,114
82,0.029718,12.7272,110
83,0.005484,12.8337,124
84,0.004053,12.5083,135
85,0.000039,12.3668,116
86,0.010517,12.7916,122
87,0.050205,11.7253,110
88,0.037243,12.7207,113
89,0.013424,12.3622,105
90,0.033085,12.1094,108
91,0.001045,12.7202,113
92,0.034513,12.3038,108
93,0.001043,11.8804,99
94,0.008230,11.8648,111
95,0.239194,12.1825,125
96,0.055296,13.238,105
97,0.258329,12.8873,120
98,0.003186,12.0843,113
99,0.072443,12.9551,118
100,0.192407,13.5044,130
101,0.004660,12.871,122
102,0.046686,13.1572,103
103,0.015007,12.2428,127
104,0.176842,12.8789,113
105,0.066837,12.8484,118
106,0.123711,12.5587,122
107,0.148119,12.383,112
108,0.150671,13.1955,119
109,0.006918,12.6699,118
110,0.017637,12.9611,121
111,0.002028,13.0023,99
112,0.032401,12.6795,105
113,0.006674,13.0349,115
114,0.328953,13.5243,105
115,0.007712,13.02,111
116,0.003177,12.2301,107
117,0.232983,12.3725,121
118,0.024999,13.0966,112
119,0.116058,12.2007,123
120,0.040891,13.1107,100
121,0.027310,12.5273,122
122,0.003267,12.4542,122
123,0.006210,12.2101,109
124,0.000728,13.1785,99
125,0.030555,12.2836,128
126,0.002539,12.5684,135
127,0.020322,12.4331,115
128,0.052436,12.2058,101
129,0.127975,12.2381,135
130,0.001117,12.5755,108
131,0.008333,13.1176,113
132,0.126322,12.628,101
133,0.026039,12.6457,126
134,0.046745,12.6565,108
135,0.000789,12.8527,118
136,0.004815,12.9101,126
137,0.125849,11.9902,128
138,0.399991,12.0562,127
139,0.001089,12.9626,114
140,0.000348,12.7932,125
141,0.469718,12.1756,124
142,0.052194,12.446,125
143,0.212192,12.1885,107
144,0.027133,12.7224,114
145,0.001111,12.4004,115
146,0.034620,12.6255,132
147,0.334797,12.2947,115
148,0.000640,11.9858,135
149,0.040308,11.8787,112
150,0.013626,13.0222,113
151,0.000959,12.6302,108
152,0.042183,11.9341,100
153,0.418207,13.1605,125
154,0.000237,13.7203,127
155,0.029622,13.1256,111
156,0.046353,13.6161,106
157,0.000757,13.3879,126
158,0.024238,13.5457,109
159,0.088080,13.3144,102
160,0.110014,13.1653,109
161,0.006003,13.2849,111
162,0.153047,13.6293,102
163,0.053992,14.0177,112
164,0.084700,13.1817,114
165,0.036506,13.187,118
166,0.368636,12.5312,111
167,0.003450,12.1453,119
168,0.152074,12.7193,101
169,0.170467,12.9226,136
170,0.035595,12.736,116
171,0.105631,12.4915,115
172,0.339270,12.8877,119
173,0.000166,12.3251,113
174,0.024928,11.57,129
175,0.104612,12.6474,124
176,0.004118,12.7283,126
177,0.052229,12.6899,101
178,0.028199,12.6707,118
179,0.017591,13.1121,110
180,0.000140,12.3288,114
181,0.005493,12.5926,117
182,0.147949,12.3818,114
183,0.091542,12.7912,119
184,0.073806,12.438,114
185,0.097353,12.7491,111
186,0.050049,12.7569,120
187,0.008043,12.4766,128
188,0.070619,12.6345,122
189,0.155168,12.9526,108
190,0.088137,13.2219,100
191,0.000136,12.5592,100
192,0.007411,12.9488,112
193,0.126625,12.7116,122
194,0.021981,12.5983,91
195,0.000574,12.4636,110
196,0.096487,12.9533,120
197,0.001917,13.0125,130
198,0.032347,12.831,130
199,0.061057,12.0369,118
200,0.012256,12.2795,110
201,0.399671,12.1309,105
202,0.018293,12.5114,111
203,0.000406,12.6404,110
204,0.042397,12.3691,116
205,0.035227,12.8794,115
206,0.005686,12.4399,128
207,0.064722,12.1878,97
208,0.159853,12.5124,109
209,0.000163,12.2978,112
210,0.053374,12.5522,123
211,0.132100,12.4163,122
212,0.003107,12.421,125
213,0.005459,13.0815,126
214,0.088179,13.1767,105
215,0.040847,13.1605,134
216,0.000172,12.2181,112
217,0.011128,12.1965,120
218,0.079492,12.9518,126
219,0.033511,12.4714,130
220,0.037937,13.286,122
221,0.013594,13.0913,127
222,0.090497,13.2507,116
223,0.001526,12.473,102
224,0.000082,13.2973,104
225,0.297463,13.0979,117
226,0.136287,12.662,120
227,0.002139,12.7437,121
228,0.132063,12.0704,114
229,0.001145,12.943,110
230,0.004461,12.9116,115
231,0.137770,12.7032,117
232,0.021293,13.031,118
233,0.226700,13.4589,99
234,0.006228,13.2585,110
235,0.023011,13.2537,113
236,0.001445,13.2269,127
237,0.000093,13.3066,124
238,0.000154,13.2533,118
239,0.026253,12.547,113
240,0.049200,13.1831,98
241,0.025167,13.2913,119
242,0.077432,12.4475,107
243,0.308043,12.3758,109
