Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,0.972576,13.1492,17
2,0.089405,13.0924,20
3,0.122361,13.1091,11
4,0.047162,13.4006,19
5,0.445965,13.4378,28
6,0.012208,13.2347,13
7,0.000426,13.4632,18
8,1.209344,13.1812,16
9,0.005546,12.8102,11
10,0.733374,12.8831,18
11,0.396180,13.6069,18
12,0.000505,12.973,17
13,0.158929,13.0489,17
14,0.354826,13.6607,17
15,0.000140,13.8625,22
16,0.720232,13.5067,16
17,0.001075,13.8944,23
18,0.023880,13.4636,19
19,0.168214,13.2718,17
20,0.796516,13.1728,21
21,0.005919,12.8114,25
22,0.000150,13.4624,17
23,0.061090,12.9486,22
24,0.000576,12.7084,19
25,0.363894,13.1688,22
26,0.184885,13.1503,14
27,0.289900,12.9282,24
28,0.129819,12.6376,17
29,0.037809,12.6901,16
30,0.187562,13.3217,11
31,0.150755,13.1334,19
32,0.604567,13.2317,14
33,0.024396,13.3198,14
34,0.035055,13.3832,18
35,0.000114,12.8628,17
36,0.090758,13.009,13
37,0.210333,13.273,13
38,0.334940,12.5163,21
39,0.351558,13.2114,14
40,0.024991,13.3491,14
41,0.319379,12.8828,13
42,0.467589,12.8649,19
43,0.039382,13.2889,11
44,0.039293,13.1899,20
45,0.048584,12.7943,21
46,0.242584,12.7054,14
47,1.538641,13.0756,22
48,1.044904,12.7212,16
49,0.083862,12.817,10
50,0.001255,12.5271,20
51,0.660591,13.1268,17
52,0.000083,13.1054,20
53,0.014862,12.795,14
54,0.612657,13.1158,20
55,1.071028,12.9815,18
56,0.232779,13.3577,19
57,0.001722,12.1896,16
58,0.001167,12.6275,16
59,0.000160,12.9538,23
60,0.864937,13.2754,15
61,0.002000,13.0656,22
62,0.186230,12.7959,12
63,0.000790,12.9693,16
64,0.017794,13.2529,15
65,0.071900,13.1331,16
66,0.325335,13.0064,15
67,0.065748,12.8935,18
68,0.096674,13.167,9
69,2.183499,13.1483,17
70,0.079624,12.6209,12
71,0.085505,12.7028,19
72,0.005125,13.27,18
73,0.735887,13.0315,20
74,0.320180,12.9849,21
75,0.384143,12.324,24
76,0.023656,13.1032,14
77,0.000668,12.5365,21
78,0.877757,13.4688,11
79,0.001084,12.8787,25
80,0.003927,13.2961,19
81,0.003864,12.7645,18
82,0.028222,14.158,12
83,1.293524,13.256,20
84,0.040069,13.331,11
85,0.266425,13.3354,16
86,1.769963,13.0673,11
87,0.126942,13.2665,20
88,0.015139,13.1353,25
89,0.367138,13.0026,19
90,0.110729,12.827,19
91,0.563928,12.9966,22
92,0.519076,12.9068,18
93,0.767533,13.4299,16
94,0.007601,13.743,24
95,1.512370,12.7889,19
96,0.086773,12.4894,18
97,0.240634,12.651,24
98,0.424455,13.3676,13
99,1.447273,13.1197,21
100,0.038862,13.6732,24
101,0.209930,13.5523,28
102,0.000534,13.2262,15
103,0.868381,13.1403,23
104,0.250280,13.2364,22
105,0.001035,12.8536,20
106,0.404670,13.5406,20
107,0.246842,13.0758,22
108,0.000031,13.7442,18
109,0.151507,13.5553,21
110,1.311123,12.9772,17
111,0.039348,12.8476,10
112,1.066567,12.3805,11
113,0.000389,12.8934,19
114,0.010194,12.3695,15
115,0.147899,12.779,16
116,0.232247,12.6344,19
117,0.145595,12.713,16
118,1.089050,12.6066,16
119,0.000177,12.2004,19
120,0.235080,13.5049,15
121,0.000978,12.4827,24
122,0.028735,12.4997,15
123,0.001171,12.2931,17
124,0.225121,12.8727,17
125,0.454384,12.9871,23
126,0.001115,12.3831,17
127,0.087347,12.6063,27
128,1.602189,12.9625,15
129,0.031419,12.9354,19
130,1.738782,13.1258,15
131,0.183739,13.2106,17
132,0.064358,12.5419,20
133,0.000888,12.285,13
134,0.964928,13.179,20
135,0.236669,13.0644,15
136,1.297866,13.0699,19
137,0.000477,13.5029,26
138,0.004026,12.898,18
139,0.029890,13.0996,18
140,0.777952,12.9344,12
141,0.000390,12.9742,13
142,0.014879,13.5361,18
143,0.000136,12.884,16
144,0.001591,14.6344,20
145,0.036565,13.7883,23
146,0.029607,13.8615,10
147,0.001545,14.0797,17
148,0.004584,13.687,19
149,1.125235,13.5954,22
150,0.462452,14.0571,17
151,0.076454,13.6923,19
152,0.000400,13.5001,14
153,1.342060,13.3664,18
154,0.901151,13.4534,22
155,0.383725,12.6876,21
156,0.033256,12.9659,16
157,0.000841,13.0237,20
158,0.291275,13.2779,14
159,0.180690,13.1669,14
160,0.765587,13.2808,21
161,0.005658,12.9326,18
162,0.045206,12.1831,16
163,0.635772,13.2711,18
164,0.145286,12.5034,18
165,0.082866,12.7268,15
166,0.001218,12.5845,23
167,0.249731,12.7057,15
168,0.022362,13.1955,18
169,0.002482,13.2853,13
170,0.030096,12.7346,18
171,0.000195,13.0705,22
172,0.000812,13.438,17
173,0.333392,12.8209,18
174,0.000681,13.0943,14
175,0.198569,13.1788,22
176,1.265868,13.1233,13
177,0.034608,12.9486,18
178,0.006550,12.6462,19
179,0.000665,12.9086,18
180,0.591576,12.3478,12
181,0.143263,12.3066,15
182,0.044807,12.6333,13
183,0.748734,13.0728,18
184,0.026537,12.9868,14
185,0.008530,12.8933,17
186,0.162145,12.5038,16
187,0.413267,12.5643,20
188,0.314502,12.9716,11
189,0.000076,12.5163,9
190,0.134090,12.79,17
191,0.103356,12.576,22
192,0.052704,13.3437,14
193,0.786503,12.6311,15
194,0.000120,13.1792,23
195,0.271066,12.4286,27
196,0.326778,13.0398,25
197,0.041224,12.4186,12
198,0.009139,12.5865,14
199,0.008225,13.2266,22
200,0.006710,13.6891,15
201,0.240098,12.9608,18
202,0.031552,12.794,16
203,0.059045,12.5668,22
204,0.007055,12.854,18
205,0.254713,12.8865,12
206,0.000200,13.4182,18
207,0.000203,13.5953,15
208,0.105573,12.7133,12
209,0.180293,12.3595,22
210,0.009153,12.8603,15
211,0.001038,12.8062,21
212,1.104113,12.7732,21
213,0.937630,12.2756,22
214,0.438056,12.7726,23
215,0.020516,13.2707,19
216,0.550849,13.0082,15
217,0.003882,12.9094,13
218,0.290660,12.5676,13
219,0.565980,12.4231,26
220,1.591265,12.8689,7
221,0.043703,13.1797,17
222,0.004926,12.3385,11
223,1.261020,12.9131,15
224,0.012638,12.5803,16
225,0.064172,12.5226,16
226,0.140706,13.0889,15
227,0.038176,12.8074,25
228,0.002517,13.0667,19
229,0.104726,13.3841,18
230,0.475331,13.1819,19
231,0.193510,12.9326,11
232,0.404668,12.5291,16
233,0.303228,12.9168,16
234,0.305399,12.4766,21
235,1.066429,12.5022,22
236,0.000169,12.5295,18
237,1.042974,13.037,14
238,0.030388,12.1235,22
239,0.167091,12.6342,13
240,0.193928,12.1826,18
241,0.099377,12.5332,19
242,0.317699,13.1108,18
243,0.044495,13.0979,10
244,0.004014,12.2271,10
245,0.000840,12.729,21
246,0.268356,12.8863,20
247,0.107585,12.9729,21
248,0.000637,12.5895,23
249,0.021815,12.7071,9
250,0.955333,12.6793,15
251,0.000560,12.8943,13
252,0.273907,13.0305,18
253,0.062052,13.2818,18
254,0.066853,12.518,16
255,0.003056,11.989,20
256,0.077900,13.1489,20
257,1.677387,12.939,14
258,0.347322,11.9207,22
259,0.248450,12.6621,22
260,0.002170,12.5766,12
261,0.024305,12.8938,17
262,0.670837,12.8168,18
263,0.376362,12.6606,21
264,0.052474,12.9415,14
265,0.947981,12.6471,15
266,0.029258,12.4717,17
267,0.083064,12.346,26
268,0.882608,12.6597,15
269,0.277139,12.1094,16
270,0.019593,12.8811,15
271,0.000046,13.1297,16
272,0.203913,13.3255,20
273,0.232385,13.128,27
274,0.044544,13.0563,17
275,0.002495,14.0361,19
276,0.112608,13.13,25
277,0.412891,12.7812,20
278,0.001566,12.7136,18
279,0.509682,13.1095,16
280,0.847717,12.8868,14
281,0.000221,12.9944,20
282,0.212830,13.3246,19
283,0.000612,13.1541,18
284,0.851846,12.744,17
285,0.383815,13.215,19
286,1.045036,13.1502,13
287,0.006323,13.0332,11
288,0.222884,13.1025,20
289,0.273684,13.217,10
290,0.442267,13.2728,17
291,0.160844,13.2587,16
292,0.012576,12.9992,16
293,0.012291,13.2682,18
294,0.481159,12.7457,15
295,0.003440,12.7084,21
296,0.931244,12.4432,16
297,0.083492,12.7917,13
298,0.007135,13.003,11
299,0.823130,12.1777,20
300,0.667239,13.3458,26
301,1.079701,12.7935,18
302,0.110823,13.0449,18
303,0.001202,12.4032,20
304,0.765917,12.4605,13
305,0.007971,12.5827,14
306,0.001016,12.6003,17
307,0.001105,12.7998,21
308,0.854693,13.0211,16
309,1.032973,12.9801,12
310,0.000564,12.2214,15
311,0.276752,12.0103,11
312,0.004859,12.7902,18
313,0.000790,12.8563,13
314,0.001065,12.7262,13
315,0.515099,13.0164,18
316,0.206203,12.6083,16
317,0.000166,13.2259,22
318,0.032240,12.5903,18
319,2.611620,13.1879,12
320,0.000485,12.7174,16
321,0.722044,12.9913,18
322,0.045562,12.882,16
323,0.116937,13.4496,10
324,1.761768,12.8572,21
325,0.000830,13.6095,13
326,0.004038,13.4804,16
327,0.003281,12.8151,18
328,0.214847,13.4533,13
329,0.016789,12.659,6
330,0.000495,13.1428,12
331,0.000828,13.6579,24
332,0.002664,13.0266,13
333,0.050581,12.5101,16
334,0.342499,12.7559,12
335,0.500157,13.2456,18
336,1.625308,13.1765,22
337,0.008204,13.2659,17
338,0.128455,12.5542,18
339,0.001025,13.4966,19
340,0.004568,13.3752,12
341,0.013331,12.8886,22
342,0.763947,13.0483,16
343,0.497585,12.4366,20
344,0.233426,12.445,18
345,0.033435,12.1588,11
346,0.663296,12.9899,19
347,0.005581,12.9334,11
348,0.097283,12.7632,9
349,0.240272,13.1793,14
350,0.849972,12.389,20
351,0.006308,13.6722,21
352,1.339759,13.2267,13
353,0.108432,13.1035,23
354,0.010881,12.9615,16
355,0.115485,12.6659,14
356,0.029019,12.5544,18
357,1.150448,12.6205,21
358,0.031605,12.6253,9
359,0.044219,12.6637,12
360,0.010724,13.1383,14
361,0.628681,12.6868,15
362,0.000750,11.9389,15
363,1.145418,13.3968,12
364,0.000087,12.7613,17
365,0.076976,13.1276,12
366,0.011698,12.6337,6
367,0.463355,13.5529,14
368,0.003194,12.7473,11
369,0.119459,13.1828,14
370,0.053717,13.0458,18
371,0.000238,13.6123,18
372,0.530992,13.1082,10
373,0.045687,13.3002,15
374,0.000553,13.2611,18
375,0.494215,12.4428,14
376,0.402751,13.0414,17
377,0.083649,12.4899,17
378,0.009950,12.7234,13
379,1.055704,12.3635,14
380,0.030417,12.7592,22
381,0.000442,12.6102,15
382,0.000405,12.4638,15
383,0.025177,12.6972,16
384,1.219289,13.1175,13
385,0.291579,12.6711,17
386,0.343420,13.2165,19
387,0.001667,13.5544,12
388,0.011515,12.7645,20
389,0.182504,13.6726,14
390,0.000159,13.0966,16
391,0.005294,13.216,24
392,0.002044,13.8726,19
393,0.257170,13.532,22
394,0.000152,13.0277,14
395,0.000905,13.0389,11
396,0.225115,14.0585,21
397,1.264426,14.099,13
398,0.004084,13.9853,11
399,0.001809,13.9371,13
400,0.171403,14.0402,23
401,0.014621,13.9103,20
402,0.008214,13.5952,13
403,0.181658,13.3801,17
404,0.013329,13.3265,21
405,0.501611,12.726,27
406,0.141003,13.7037,14
407,0.055722,13.7242,22
408,0.000117,12.8693,13
409,0.000209,12.9526,21
410,0.002672,13.4402,12
411,0.001802,12.8335,20
412,0.058143,13.4184,11
413,0.093587,13.49,21
414,0.003215,13.1852,24
415,0.006197,13.0434,22
416,0.129606,13.1918,25
417,0.100873,12.8971,19
418,0.257778,13.6284,22
419,0.661762,13.4216,25
420,1.554713,13.4215,16
421,0.094526,13.5161,17
422,0.004772,12.9044,14
423,0.000523,12.8972,17
424,0.000395,12.7518,28
425,0.064541,13.4494,18
426,0.126720,12.8671,10
427,0.564965,13.4832,11
428,0.025453,12.969,16
429,0.061974,13.2931,16
430,0.125761,12.6767,24
431,0.186654,13.0495,11
432,0.323505,12.7674,17
433,0.157291,12.6931,14
434,0.742557,12.6424,17
435,0.243630,12.7552,28
436,0.929232,12.5827,23
437,0.064310,12.6371,24
438,0.026405,13.4066,21
439,0.037951,12.6125,17
440,0.708179,13.5559,26
441,0.028260,13.9711,12
442,0.000482,13.3038,18
443,0.011439,13.2059,16
444,0.000946,11.7731,20
445,0.004954,13.1041,15
446,0.054490,12.2562,11
447,0.015973,12.664,20
448,0.149125,12.8402,15
449,0.000941,13.017,12
450,0.318218,12.6341,11
451,0.206005,12.905,20
452,0.279325,14.0561,20
453,0.278386,13.2518,27
454,0.286477,13.0622,20
455,1.791049,13.0476,17
456,0.369333,12.5245,19
457,0.004716,12.8088,19
458,0.340906,12.563,10
459,0.000425,12.8688,7
460,0.000478,13.0395,17
461,0.005315,12.3129,18
462,0.527394,13.1457,19
463,0.514286,12.5993,23
464,0.002284,13.6065,22
465,0.065618,13.357,15
466,0.549842,13.07,20
467,0.156607,13.5327,13
468,0.103428,13.3618,14
469,0.799918,12.5132,17
470,0.026189,13.1654,21
471,0.000142,12.536,20
472,1.245691,12.1931,18
473,0.000739,13.4136,12
474,0.001014,13.1694,14
475,0.014677,12.7665,17
476,0.002216,12.9507,15
477,0.820083,12.6138,22
478,0.801105,13.3626,17
479,0.010561,12.5849,16
480,1.658757,13.2683,17
481,0.010249,12.9512,21
482,0.289783,12.7585,20
483,2.296518,12.8173,15
484,0.477208,12.705,23
485,0.003550,12.6228,7
486,0.035886,12.6955,16
487,0.014057,13.3319,15
488,0.005815,12.0509,16
489,1.022219,12.1464,19
490,0.057343,12.6038,20
491,0.000451,12.523,23
492,0.171715,13.4646,24
493,0.324251,12.5111,7
494,0.000934,13.2222,13
495,0.063427,13.0438,18
496,0.398282,12.9293,21
497,0.440793,13.5753,23
498,2.179796,12.4602,14
499,0.005387,12.6833,19
500,0.003798,13.0173,17
501,0.000332,13.234,17
502,0.152930,13.018,15
503,0.564464,12.5269,20
504,0.020777,12.8022,18
505,0.911810,12.5629,25
506,0.764557,13.8097,17
507,0.002406,13.6277,16
508,0.038016,13.1473,14
509,0.000151,12.5519,22
510,0.356657,12.8206,17
511,0.113267,13.5973,19
512,2.000436,13.25,15
513,0.038812,13.2905,9
514,0.013633,12.6002,22
515,0.029578,12.7307,20
516,0.001036,12.9335,16
517,0.107477,13.1437,16
518,0.140011,12.9292,22
519,0.695628,12.9852,18
520,0.028621,12.8558,13
521,0.000044,13.2314,21
522,0.000345,12.9292,18
523,0.174272,12.6809,16
524,0.006179,13.0107,14
525,0.248068,12.3437,16
526,0.000906,12.5839,15
527,0.002347,12.8402,10
528,0.074406,12.7306,22
529,0.553127,12.8811,17
530,0.008219,12.3464,18
531,0.423150,12.7992,10
532,0.377143,12.8186,26
533,0.004644,13.1384,15
534,0.416578,11.8377,22
535,0.002386,12.6909,16
536,0.084230,12.7847,21
537,0.037716,13.3667,12
538,0.030068,12.8037,15
539,1.829250,12.7388,19
540,0.041836,12.697,16
541,1.548224,12.3607,13
542,0.089513,12.8342,19
543,0.470746,12.8451,16
544,0.000810,13.7038,13
545,0.013292,13.187,22
546,0.110648,13.1036,12
547,1.499409,13.0209,14
548,0.093917,12.5043,19
549,0.423824,12.3352,15
550,0.006794,13.2002,13
551,0.005799,13.1141,19
552,0.359863,12.5388,11
553,0.170950,13.1095,21
554,0.021165,12.7902,15
555,0.510496,13.2772,12
556,0.765754,13.5362,22
557,0.576101,13.5915,13
558,0.135341,13.5227,18
559,0.001689,12.8082,31
560,1.678117,13.7247,11
561,0.122478,12.9146,17
562,0.004216,13.1625,15
563,0.337162,13.2555,24
564,0.572652,13.4297,12
565,0.112629,13.0415,14
566,0.022615,13.6037,17
567,0.365929,13.4872,21
568,0.000913,13.8129,18
569,1.015137,14.1988,11
570,0.061513,13.8085,16
571,0.016843,13.7653,19
572,0.006964,14.4959,12
573,0.141975,13.8766,21
574,0.018708,13.3174,23
575,0.205032,13.7277,9
576,0.114355,13.4811,15
577,0.039964,13.4805,19
578,0.045420,13.3809,20
579,0.283056,12.8374,18
580,1.227337,13.6566,20
581,0.006524,13.5056,23
582,0.021065,12.8882,11
583,0.962604,12.1688,16
584,0.069431,13.5078,17
585,0.036128,12.9758,13
586,0.414781,13.4528,21
587,0.000594,13.4713,18
588,0.410781,12.2525,23
589,0.000296,12.6731,20
590,0.144190,13.2476,13
591,0.267167,13.2998,23
592,0.003551,13.1438,15
593,0.000134,13.3986,21
594,0.382402,13.2765,22
595,0.000158,13.0712,13
596,0.378625,13.2167,22
597,0.011910,13.228,14
598,0.251098,12.9425,12
599,0.001049,12.6318,16
600,0.229214,12.1105,16
601,0.004737,12.5272,26
602,1.302218,13.2708,24
603,0.138157,12.4808,13
604,0.004694,13.2297,12
605,0.273703,11.9917,17
606,0.000963,13.6307,15
607,0.296985,12.9786,19
608,0.028955,12.9593,19
609,0.083888,13.5317,14
610,0.056571,13.092,19
