Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0171737,70,true,2
2,0.0256478,225,true,3
3,0.0523564,118,true,6
4,0.0256809,234,true,3
5,0.0595264,1515,true,7
6,0.0850715,641,true,10
7,0.042833,113,true,5
8,0.0426383,6,true,5
9,0.051057,0,false,6
10,0.0424714,42,true,5
11,0.0680221,339,true,8
12,0.0343551,654,true,4
13,0.0355311,590,true,4
14,0.0425955,443,true,5
15,0.0512813,209,true,6
16,0.0764594,87,true,9
17,0.0257576,107,true,3
18,0.0696471,97,true,8
19,0.067992,63,true,8
20,0.0341644,1734,true,4
21,0.0342676,12,true,4
22,0.0342447,396,true,4
23,0.0172655,740,true,2
24,0.0594997,113,true,7
25,0.0171987,127,true,2
26,0.0511142,73,true,6
27,0.0427005,158,true,5
28,0.0596057,43,true,7
29,0.0171399,4844,true,2
30,0.0763999,284,true,9
31,0.0512418,343,true,6
32,0.0256017,739,true,3
33,0.0428245,277,true,5
34,0.0595642,284,true,7
35,0.0258716,130,true,3
36,0.0172557,3890,true,2
37,0.0510612,24,true,6
38,0.0510313,0,false,6
39,0.043033,382,true,5
40,0.0256595,136,true,3
41,0.0862105,348,true,10
42,0.0595834,1306,true,7
43,0.0171797,90,true,2
44,0.0343264,357,true,4
45,0.0343196,1039,true,4
46,0.0426305,343,true,5
47,0.0258993,714,true,3
48,0.051245,625,true,6
49,0.0427287,1204,true,5
50,0.0347666,105,true,4
51,0.0510988,181,true,6
52,0.0764496,710,true,9
53,0.0264183,2114,true,3
54,0.0512943,512,true,6
55,0.0511559,0,false,6
56,0.076395,301,true,9
57,0.10187,268,true,12
58,0.0256863,1622,true,3
59,0.0598482,368,true,7
60,0.0596464,819,true,6
61,0.0369136,41,true,4
62,0.0260935,80913,true,3
63,0.0689665,13,true,8
64,0.0353066,114,true,4
65,0.0269464,199,true,3
66,0.026407,1728,true,3
67,0.0189204,240,true,2
68,0.0599169,16,true,7
69,0.0691511,163,true,8
70,0.0790321,50,true,9
71,0.0686265,255,true,8
72,0.0431006,190,true,5
73,0.0172646,2015,true,2
74,0.0364276,148,true,4
75,0.0683108,86,true,8
76,0.0342036,5,true,4
77,0.0598175,409,true,7
78,0.017316,47,true,2
79,0.0172995,303,true,2
80,0.0596657,55,true,7
81,0.0425944,27,true,5
82,0.0765725,1290,true,9
83,0.0596002,319,true,7
84,0.0445476,59,true,5
85,0.05156,825,true,6
86,0.0427842,169,true,5
87,0.0172166,16563,true,2
88,0.0510708,828,true,6
89,0.0345987,2,true,4
90,0.0341668,138,true,4
91,0.05102,204,true,6
92,0.051124,15,true,6
93,0.0342275,773,true,4
94,0.0447575,0,false,5
95,0.0174013,671,true,2
96,0.0343231,6,true,4
97,0.0699094,763,true,8
98,0.0514776,191,true,6
99,0.0514482,333,true,6
100,0.0172102,1555,true,2
101,0.0849807,229,true,10
102,0.0174118,2922,true,2
103,0.0618217,28,true,7
104,0.0525667,871,true,6
105,0.018893,78,true,2
106,0.0177642,751,true,2
107,0.0173518,761,true,2
108,0.0274277,146,true,3
109,0.045708,375,true,5
110,0.0356352,12,true,4
111,0.0547547,205,true,6
112,0.0429231,204,true,5
113,0.0428223,99,true,5
114,0.0343638,137,true,4
115,0.0513162,42,true,6
116,0.0352832,382,true,4
117,0.0965885,0,false,11
118,0.0874507,483,true,10
119,0.0359838,430,true,4
120,0.051665,1377,true,6
121,0.0595635,95,true,7
122,0.0344718,216,true,4
123,0.025918,11,true,3
124,0.0172593,833,true,2
125,0.0342149,709,true,4
126,0.0259059,176,true,3
127,0.034328,178,true,4
128,0.0514643,289,true,6
129,0.0258525,317,true,3
130,0.0680055,1227,true,8
131,0.05177,0,false,6
132,0.0350837,21,true,4
133,0.0170817,37,true,2
134,0.0261407,415,true,3
135,0.0346756,5698,true,4
136,0.0351263,812,true,4
137,0.0764604,0,false,9
138,0.0344283,52,true,4
139,0.0937493,192,true,11
140,0.0272939,275,true,3
141,0.0358701,78,true,4
142,0.0257078,37,true,3
143,0.0428223,564,true,5
144,0.0513064,10,true,6
145,0.0172879,64,true,2
146,0.0682391,477,true,8
147,0.0256933,294,true,3
148,0.0344301,79,true,4
149,0.051161,1341,true,6
150,0.0514953,184,true,6
151,0.060381,440,true,7
152,0.0600609,9,true,7
153,0.0262163,173,true,3
154,0.0341297,77,true,4
155,0.0510326,598,true,6
156,0.0680176,91,true,8
157,0.0880644,367,true,10
158,0.0436388,0,false,5
159,0.0512164,198,true,6
160,0.0685277,168,true,8
161,0.0968445,128,true,10
162,0.054724,57,true,5
163,0.0913027,270,true,10
164,0.026348,3244,true,3
165,0.0264897,213,true,3
166,0.0345043,52,true,4
167,0.0258799,351,true,3
168,0.0174282,1939,true,2
169,0.0596373,3837,true,7
170,0.0780007,187,true,9
171,0.0509854,0,false,6
172,0.0173431,176,true,2
173,0.0626088,47,true,3
174,0.123491,51,true,12
175,0.0519901,281,true,6
176,0.0437198,240,true,5
177,0.0263814,836,true,3
178,0.0515637,57,true,6
179,0.0512544,359,true,6
180,0.0780352,145,true,9
181,0.0428612,217,true,5
182,0.0766938,3,true,9
183,0.0430104,59,true,5
184,0.0343266,134,true,4
185,0.0529342,496,true,4
186,0.0345206,492,true,4
187,0.0341843,263,true,4
188,0.0689628,443,true,8
189,0.0173525,4731,true,2
190,0.0257918,65,true,3
191,0.0430653,1091,true,5
192,0.0259001,534,true,3
193,0.0603454,743,true,7
194,0.0257029,13,true,3
195,0.017359,7560,true,2
196,0.0256898,616,true,3
197,0.0341718,122,true,4
198,0.0512666,415,true,6
199,0.0683288,0,false,8
200,0.0257541,55,true,3
201,0.0257511,167,true,3
202,0.0597535,33,true,7
203,0.0172645,144,true,2
204,0.0259623,929,true,3
205,0.0257253,430,true,3
206,0.0766688,123,true,9
207,0.0343546,212,true,4
208,0.0681202,29,true,8
209,0.0256687,178,true,3
210,0.0172156,646,true,2
211,0.0425444,0,false,5
212,0.0510508,0,false,6
213,0.042597,6,true,5
214,0.0342509,408,true,4
215,0.0437175,546,true,5
216,0.0479925,102,true,5
217,0.0201223,191,true,2
218,0.0440594,129,true,5
219,0.0431942,203,true,5
220,0.0343784,681,true,4
221,0.05278,40,true,6
