Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
228,0.000455,12.511,1
229,0.048405,12.9765,1
230,0.101958,12.7393,1
231,2.925519,12.9327,1
232,0.312217,12.6568,1
233,4.731478,12.4456,1
234,3.314456,12.9931,1
235,0.002583,13.0068,1
236,0.000889,12.3866,1
237,2.868402,12.7627,1
238,0.703671,12.778,2
239,0.339049,12.6611,1
240,0.000652,13.0871,1
241,0.743677,12.8741,1
242,0.288214,12.8067,1
243,0.048233,12.8162,1
244,0.106676,12.5749,1
245,1.380716,12.61,1
246,0.001064,13.15,1
247,0.007768,12.2153,1
248,0.000230,12.9011,1
249,0.000119,13.1854,1
250,0.720995,13.1728,1
251,0.027158,13.0329,1
252,1.494127,12.8241,1
253,4.651589,12.64,1
254,0.001155,12.3471,1
255,0.000314,12.4705,1
256,0.106454,12.187,1
257,0.002576,12.8629,1
258,0.670661,12.1574,1
259,3.182636,12.5019,1
260,0.000222,12.4946,1
261,2.620613,12.3048,1
262,0.609791,12.2854,1
263,0.000649,12.7488,1
264,0.004832,13.2741,1
265,2.234123,13.3273,1
266,2.031252,13.0051,1
267,0.002587,13.8448,1
268,0.011044,13.1976,1
269,0.000298,13.4288,1
270,0.000916,13.0193,1
271,0.125084,13.7101,1
272,0.042500,13.7607,1
273,3.208633,14.0054,1
274,0.000172,14.1106,1
275,0.001735,13.9967,1
276,5.542351,14.518,1
277,0.046266,14.7332,1
278,0.140626,14.4496,1
279,0.632452,13.9219,1
280,4.362032,13.8879,2
281,0.501044,15.5882,1
282,0.035381,14.1647,1
283,0.692064,13.6013,1
284,0.003245,13.7857,1
285,2.802577,13.5756,1
286,0.013177,13.8391,1
287,0.854732,13.4481,1
288,5.548944,13.1474,1
289,2.673901,12.5427,2
290,0.495946,12.6895,2
291,0.000386,13.4503,1
292,0.039207,13.1155,1
293,1.003534,13.5737,1
294,0.175362,13.3031,1
295,3.498714,12.8085,1
296,0.011480,13.1308,1
297,0.080749,12.8027,1
298,0.351296,12.8823,1
299,0.002211,12.5068,1
300,4.215847,13.1929,1
301,1.886248,13.1556,1
302,2.250790,11.9772,1
303,4.776766,13.2506,3
304,0.245194,13.209,1
305,0.191276,12.4489,1
306,3.283753,12.7406,1
307,0.056519,12.6234,1
308,0.026622,12.5883,1
309,2.768924,12.3197,1
310,0.000108,12.6135,1
311,0.957856,12.4189,1
312,0.000034,12.5504,1
313,2.190136,12.0195,1
314,2.230535,13.1207,1
315,0.000666,12.384,1
316,0.587987,12.4528,2
317,0.000402,12.5995,1
318,0.000678,12.8409,1
319,0.079075,12.5879,1
320,1.789895,12.4264,1
321,0.759365,12.9086,2
322,0.786809,12.9851,1
323,0.043704,12.4241,1
324,0.000393,13.0689,1
325,4.284576,12.4357,1
326,0.008484,13.5449,1
327,3.089503,13.0293,1
328,0.024942,13.2895,1
329,0.005596,12.3784,1
330,0.309969,13.1359,1
331,1.537097,13.5966,1
332,1.641339,13.3176,1
333,2.108097,13.5822,2
334,0.001239,14.1261,1
335,0.005502,12.9198,1
336,1.612452,14.0948,1
337,0.013249,12.9097,1
338,0.046246,14.1992,1
339,0.608589,13.6497,1
340,0.002274,13.0274,1
341,0.059188,13.5455,1
342,0.670376,13.4049,1
343,0.060515,13.4388,1
344,0.053319,12.9377,1
345,1.121103,13.0731,1
346,1.291091,12.909,1
347,3.465786,13.0522,1
348,1.256228,13.2719,1
349,0.000050,13.0371,1
350,0.002623,13.8641,1
351,0.005731,13.2844,1
352,2.471800,13.6698,1
353,0.017566,13.3905,1
354,0.040642,13.5481,1
355,0.000176,13.9044,1
356,3.011974,12.6961,1
357,0.052443,13.2146,1
358,0.069145,13.4433,1
359,0.015066,13.4594,1
360,0.002040,13.506,1
361,0.005866,12.8446,1
362,0.227342,13.4091,1
363,0.038155,13.6043,1
364,0.000344,13.5027,1
365,1.250605,13.2768,1
366,0.004080,13.6531,1
367,0.034288,13.5771,1
368,4.212248,13.5129,2
369,2.635657,13.4247,2
370,0.006617,13.541,1
371,0.948983,13.7249,1
372,3.116910,13.218,2
373,0.193395,12.5685,1
374,2.002139,12.0658,1
375,0.034318,12.1645,1
376,0.000363,12.27,1
377,0.521497,12.703,1
378,2.457345,12.7354,1
379,0.061382,12.0854,1
380,3.194900,12.9191,1
381,0.004470,12.7001,1
382,0.592228,12.9089,2
383,2.077900,13.1608,1
384,2.831705,12.9811,1
385,0.096698,12.5349,1
386,0.299773,11.856,1
387,4.181003,12.5808,1
388,0.005480,13.1162,1
389,1.048476,13.4024,1
390,0.003941,12.6852,1
391,0.008413,12.6315,1
392,0.066198,13.1999,1
393,2.478265,13.0422,1
394,2.364606,12.1868,1
395,0.000177,12.7807,1
396,3.908472,12.0809,1
397,0.980464,13.0767,1
398,0.376376,12.5435,1
399,0.060756,12.6214,1
400,0.016651,13.046,1
401,1.443744,12.5883,1
402,0.001062,12.6785,1
403,0.013972,12.8157,1
404,0.009854,13.3624,1
405,0.003794,12.838,1
406,0.002966,13.0082,1
407,2.409165,13.2002,1
408,0.050795,13.1089,1
409,0.000585,12.4115,1
410,0.012687,12.0094,1
411,0.865207,12.6442,1
412,4.949012,13.342,1
413,0.001993,13.372,1
414,1.402663,12.7623,2
415,0.001279,12.4299,1
416,2.530894,12.2739,1
417,0.000481,13.4703,1
418,0.002242,12.9686,1
419,0.432087,13.5987,2
420,0.145433,12.9439,1
421,4.295941,13.0043,1
422,1.835667,13.1117,2
423,0.967945,13.1135,3
424,0.000831,12.7417,1
425,1.620077,12.9047,1
426,0.001983,12.621,1
427,0.330574,12.9184,1
428,1.486603,12.5209,1
429,1.668930,13.3512,1
430,0.100247,12.8646,1
431,3.284633,12.6986,1
432,0.003781,13.1889,1
433,3.354491,12.429,1
434,0.022597,13.1633,1
435,0.021311,12.7386,1
436,4.786923,12.3389,1
437,0.019872,12.7905,1
438,0.033986,11.999,1
439,0.347525,12.5803,1
440,3.974267,12.4784,1
441,0.022015,13.874,1
442,1.857995,13.6738,1
443,0.145641,14.0232,1
444,0.005074,14.3846,1
445,0.217536,13.2862,1
446,0.771710,14.275,1
447,1.385611,13.9546,1
448,0.080705,14.0754,2
449,0.002838,14.0353,1
450,0.000925,13.8449,1
451,0.002923,13.6711,1
452,0.000423,14.1863,1
453,2.425876,13.125,1
454,0.336687,13.1809,1
455,0.000157,13.3032,1
456,3.246440,13.6939,1
457,0.072387,13.357,1
