Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
487,0.0258244,106280,true,3
488,0.0512822,259049,true,6
489,0.059222,578469,true,7
490,0.0409785,88472,true,5
491,0.0656376,430123,true,8
492,0.0328867,153992,true,4
493,0.0494578,27517,true,6
494,0.0492758,441347,true,6
495,0.00843729,0,false,1
496,0.0169587,1335479,true,2
497,0.0573992,2017006,true,7
498,0.0167813,1009458,true,2
499,0.016557,548472,true,2
500,0.0248151,235025,true,3
501,0.0574271,67139,true,7
502,0.0658061,267805,true,8
503,0.0491941,292754,true,6
504,0.0166386,1431945,true,2
505,0.0655856,193880,true,8
506,0.0247754,502172,true,3
507,0.0167083,594922,true,2
508,0.0494482,243039,true,6
509,0.0518655,468370,true,6
510,0.0173152,98297,true,2
511,0.0355344,504650,true,4
512,0.0273955,116594,true,3
513,0.0836415,152613,true,10
514,0.0497445,953856,true,6
515,0.0166579,116647,true,2
516,0.0575704,506147,true,7
517,0.0501875,0,false,6
518,0.0494459,238496,true,6
519,0.016573,2774396,true,2
520,0.016645,943930,true,2
521,0.0247882,334628,true,3
522,0.0658104,314196,true,8
523,0.0661436,172045,true,8
524,0.0496325,196919,true,6
525,0.0166829,27052,true,2
526,0.0167524,2296656,true,2
527,0.0329742,1506874,true,4
528,0.033082,6117512,true,4
529,0.0577025,340241,true,7
530,0.0658792,62919,true,8
531,0.0413038,1376316,true,5
532,0.0332123,84873,true,4
533,0.0495575,489211,true,6
534,0.0331423,296378,true,4
535,0.0413687,72769,true,5
536,0.0658276,239922,true,8
537,0.0667728,346099,true,8
538,0.0332154,1974665,true,4
539,0.0495138,0,false,6
540,0.0494639,143858,true,6
541,0.0495642,526170,true,6
542,0.0577951,152344,true,7
543,0.0577377,169353,true,7
544,0.0166799,340335,true,2
545,0.0332571,414263,true,4
546,0.0414465,29760,true,5
547,0.0248535,596264,true,3
548,0.0249965,107557,true,3
549,0.0659798,260428,true,8
550,0.0248406,4722630,true,3
551,0.0493919,723434,true,6
552,0.0331866,72344,true,4
553,0.0330754,76039,true,4
554,0.0414173,58766,true,5
555,0.0247985,471175,true,3
556,0.0168005,90434,true,2
557,0.0173935,2835556,true,2
558,0.0833976,303477,true,10
559,0.0415918,496346,true,5
560,0.0496149,2412029,true,6
561,0.0531889,76784,true,6
562,0.0342059,83523,true,4
563,0.0183262,331063,true,2
564,0.0344625,13965,true,4
565,0.0342964,142764,true,4
566,0.0173289,1055583,true,2
567,0.0175422,1834518,true,2
568,0.0344375,354706,true,4
569,0.0429269,148587,true,5
570,0.112672,594429,true,7
571,0.0178574,497027,true,2
572,0.0259014,136044,true,3
573,0.0842615,8826,true,10
574,0.0256343,33431,true,3
575,0.0507121,17924414,true,6
576,0.0336428,112449,true,4
577,0.0176793,7323133,true,2
578,0.0617011,201774,true,7
579,0.0517107,97044,true,6
580,0.0171554,319949,true,2
581,0.0260333,799733,true,3
582,0.0863165,46102,true,10
583,0.0514289,290855,true,6
584,0.0342212,692818,true,4
585,0.0171865,8142,true,2
586,0.0428276,86922,true,5
587,0.0171904,4189581,true,2
588,0.0345633,172779,true,4
589,0.0342942,76262,true,4
590,0.0171871,204688,true,2
591,0.0257915,126240,true,3
592,0.0257377,232572,true,3
593,0.017322,120841,true,2
594,0.0511187,566362,true,6
595,0.0787261,5596,true,9
596,0.0264228,11973,true,3
597,0.0446629,205624,true,5
598,0.0186511,1428191,true,2
599,0.0271953,1592662,true,3
600,0.0442455,39276,true,5
601,0.0333829,238435,true,4
602,0.0611941,301974,true,7
603,0.0274265,264774,true,3
604,0.0617793,46155,true,7
605,0.0689315,112725,true,8
606,0.07666,15079,true,9
607,0.0422418,54561,true,5
608,0.0415693,1138290,true,5
609,0.0334192,105725,true,4
610,0.0251849,237330,true,3
611,0.0340226,0,false,4
612,0.0499834,166778,true,6
613,0.0332542,334800,true,4
614,0.0678852,481054,true,8
615,0.0754922,84824,true,9
616,0.0332955,521373,true,4
617,0.082668,350737,true,10
618,0.0332565,284698,true,4
619,0.058116,123079,true,7
620,0.0334418,1806629,true,4
621,0.0331954,1306830,true,4
622,0.0415867,23318,true,5
623,0.0435328,654947,true,5
624,0.0597353,468067,true,7
625,0.0512446,111637,true,6
626,0.0256804,125785183,true,3
627,0.0511359,492474,true,6
628,0.0765445,393111,true,9
629,0.051104,424524,true,6
630,0.0596172,19814,true,7
631,0.0514869,94409,true,6
632,0.0511445,256639,true,6
633,0.0684373,140029,true,8
634,0.0342529,234862,true,4
635,0.0428855,1082388,true,5
636,0.0596822,100605,true,7
637,0.0679694,72265,true,8
638,0.0343146,140111,true,4
639,0.0516563,123956,true,6
640,0.0427665,324252,true,5
641,0.0597707,489632,true,7
642,0.0596453,304993,true,7
643,0.0345192,260500,true,4
644,0.0806055,58589,true,10
645,0.0575138,38393,true,7
646,0.0494231,52186,true,6
647,0.0495407,1531708,true,6
648,0.049408,106890,true,6
649,0.0580075,1674716,true,7
650,0.0333247,84734,true,4
651,0.0739315,38393,true,9
652,0.0493791,339110,true,6
653,0.0658454,2594592,true,8
654,0.0495481,52601,true,6
655,0.0665797,0,false,8
656,0.0333696,846308,true,4
657,0.0331674,368110,true,4
658,0.0822715,110500,true,10
659,0.0578382,717534,true,7
660,0.0510897,433524,true,6
661,0.0525312,2757682,true,6
662,0.0508846,1676967,true,6
663,0.110343,55023,true,13
664,0.0530944,276432,true,6
665,0.052315,350646,true,6
666,0.0345018,287484,true,4
667,0.0429785,300372,true,5
668,0.0512347,907923,true,6
669,0.0425003,945836,true,5
670,0.0513578,214308,true,6
671,0.0517628,380038,true,6
672,0.025948,440725,true,3
673,0.0596716,89510,true,7
674,0.03429,1280036,true,4
675,0.059624,15241,true,7
676,0.0429428,360532,true,5
677,0.0262728,460701,true,3
678,0.034306,0,false,4
679,0.0513315,394745,true,6
680,0.0682974,16458,true,8
681,0.0340918,492850,true,4
682,0.0342934,107153,true,4
683,0.0257935,37720,true,3
684,0.0767392,159080,true,9
685,0.0346345,1887511,true,4
686,0.0344222,77499,true,4
687,0.0680208,803950,true,8
688,0.0511494,57494,true,6
689,0.0680666,47027,true,8
690,0.0257199,6055,true,3
691,0.05127,230465,true,6
692,0.0512653,560100,true,6
693,0.0341973,431749,true,4
694,0.025752,31575,true,3
695,0.0596948,335880,true,7
696,0.0342091,107847,true,4
697,0.0175081,112048,true,2
698,0.0684958,36639,true,8
699,0.034174,31179,true,4
700,0.0597183,228734,true,7
701,0.0425932,538801,true,5
702,0.0848918,15196,true,10
703,0.0426702,17769,true,5
704,0.059657,59135,true,7
705,0.0850112,16900,true,10
706,0.0935338,318593,true,11
707,0.0172364,457427,true,2
708,0.0257621,354657,true,3
709,0.0607215,419643,true,7
710,0.0670612,249258,true,8
711,0.0251012,1795997,true,3
712,0.0416383,320145,true,5
713,0.0168233,658543,true,2
714,0.058076,1079770,true,7
715,0.0251833,811073,true,3
716,0.033485,717238,true,4
717,0.0167911,178970,true,2
718,0.0334411,295846,true,4
719,0.033255,24458,true,4
720,0.0417112,551811,true,5
721,0.0499205,93243,true,6
722,0.0581223,19987,true,7
723,0.0251745,448406,true,3
724,0.0252586,977746,true,3
725,0.0250723,14346,true,3
726,0.0334503,573282,true,4
727,0.0332827,638639,true,4
728,0.0416788,312938,true,5
729,0.0250855,595854,true,3
730,0.0333089,637290,true,4
731,0.0661768,0,false,8
732,0.0499852,685665,true,6
733,0.0250651,253282,true,3
734,0.0334541,775905,true,4
735,0.0500796,1065972,true,6
736,0.0249574,247024,true,3
737,0.0334306,408113,true,4
738,0.0580395,210131,true,7
739,0.0167285,284564,true,2
740,0.0333935,272143,true,4
741,0.0167627,552478,true,2
742,0.0676262,11374,true,8
743,0.0332947,90053,true,4
744,0.066464,113888,true,8
745,0.0415512,107759,true,5
746,0.0418929,91812,true,5
747,0.0701347,241840,true,8
748,0.0174947,387171,true,2
749,0.0432679,1207824,true,5
750,0.0528525,286346,true,6
751,0.0439527,102035,true,5
752,0.0349124,122189,true,4
