Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,0.313125,13.182,1
2,0.337018,12.5815,1
3,0.001906,12.9637,1
4,3.814264,12.9675,1
5,3.199106,13.1007,1
6,0.642642,12.755,1
7,0.001225,12.3656,1
8,0.065661,12.0797,1
9,4.269418,12.4346,1
10,0.001150,12.7494,1
11,0.120954,12.9093,1
12,2.413490,13.1623,1
13,4.411882,13.0513,1
14,0.027996,12.3173,1
15,0.017872,12.408,1
16,0.001092,12.1098,1
17,0.034643,12.2879,1
18,0.934379,12.3657,1
19,0.000138,12.7787,1
20,1.433584,12.6096,2
21,0.027348,12.0409,1
22,0.000137,12.3888,1
23,0.098912,12.2881,1
24,0.002334,12.5899,1
25,4.152930,12.1418,1
26,0.916073,12.6428,1
27,4.444996,12.8335,1
28,0.071391,12.2771,1
29,0.830422,12.6726,1
30,0.005972,12.6487,1
31,0.236706,12.747,1
32,0.576410,11.8282,1
33,2.069924,12.8114,1
34,3.344394,12.9386,1
35,0.015361,12.4491,1
36,0.428401,13.0997,1
37,0.056193,12.3571,1
38,0.004001,12.3881,1
39,0.067509,12.5183,1
40,0.010814,12.3641,1
41,0.130965,12.8134,1
42,0.000786,12.7826,1
43,1.228617,12.7477,1
44,0.004064,12.9418,1
45,1.595149,12.4222,1
46,0.067942,12.702,1
47,0.673851,12.4092,1
48,0.003309,12.3685,1
49,0.002183,12.8752,1
50,0.968704,12.8056,2
51,0.752361,12.3947,1
52,0.739045,11.7964,1
53,0.000178,12.7277,1
54,0.002720,13.2111,1
55,0.072416,13.1464,1
56,0.000484,12.757,1
57,0.050649,12.6153,1
58,0.000117,13.0065,1
59,1.926519,13.0428,1
60,0.278021,12.8211,1
61,4.473951,13.0869,1
62,0.001527,12.9569,1
63,0.010019,12.7087,1
64,4.653580,12.5777,1
65,0.084260,13.0482,1
66,0.824408,12.7695,1
67,4.704365,13.5796,1
68,0.021508,12.5817,1
69,0.341474,12.5628,1
70,0.001164,12.2043,1
71,0.864429,13.4599,1
72,0.155833,12.3274,1
73,0.010058,13.2572,1
74,5.213304,12.7484,1
75,0.622532,13.1549,1
76,0.015672,13.0064,1
77,0.000752,12.9654,1
78,1.381965,12.8989,1
79,1.246164,12.7104,1
80,1.008511,13.222,1
81,0.002888,13.4258,1
82,0.000427,12.8809,1
83,0.000267,13.458,1
84,0.000114,13.2001,1
85,0.045775,13.1459,1
86,0.013248,13.6934,1
87,0.009573,12.2545,1
88,0.045056,13.4299,1
89,0.012641,12.6442,1
90,0.260453,13.0212,1
91,0.004079,13.0086,1
92,0.002460,12.8499,1
93,0.000703,13.1392,1
94,0.022929,12.5297,1
95,0.234499,12.3744,1
96,0.018255,12.9124,1
97,0.000839,12.6613,1
98,3.356498,12.854,1
99,0.674551,12.5984,1
100,0.706621,13.1817,1
101,0.576183,13.4104,1
102,0.038056,13.2706,1
103,1.575201,12.4435,1
104,0.337389,11.8876,1
105,0.287061,13.8537,1
106,0.200749,13.0515,1
107,0.382818,13.7037,1
108,3.628523,13.3049,1
109,0.038980,13.086,1
110,0.226395,13.4577,1
111,0.002017,12.5258,1
112,0.132769,13.0057,1
113,4.454588,12.9339,1
114,0.273314,12.1522,1
115,2.162855,13.3027,1
116,0.118315,13.8281,1
117,1.463434,12.2792,1
118,0.000163,13.4905,1
119,0.000174,12.6426,1
120,0.009475,12.7074,1
121,2.212390,12.4152,1
122,2.996672,12.3507,1
123,4.793378,12.4177,1
124,0.035411,12.6822,1
125,0.206718,12.9657,1
126,0.023897,12.0369,1
127,0.881191,13.4281,1
128,0.614968,12.5353,1
129,1.510447,12.7399,1
130,2.882802,12.6762,1
131,0.139412,12.7861,1
132,0.153863,12.8769,1
133,0.062824,13.3744,1
134,0.000064,13.2046,1
135,1.408513,12.9789,1
136,1.040832,12.9808,1
137,1.022203,12.9618,1
138,0.171915,12.7506,1
139,0.549805,12.4337,1
140,0.002733,12.6736,1
141,0.000185,13.1147,1
142,4.952221,12.8517,1
143,0.499704,12.3144,1
144,0.002198,12.2348,1
145,0.643273,13.2957,1
146,0.025896,12.8697,1
147,0.020837,13.2026,1
148,0.211917,13.0041,1
149,1.388375,12.6072,1
150,0.352848,13.3149,1
151,1.390024,13.4536,1
152,1.304248,13.4379,2
153,0.000117,12.8747,1
154,0.000331,12.7966,1
155,0.006005,13.2024,1
156,0.000796,12.8531,1
157,2.503472,13.6004,1
158,0.077075,13.2505,1
159,0.654489,12.6989,1
160,0.039087,12.4677,1
161,0.232469,13.4548,1
162,0.009107,13.5291,1
163,5.236630,12.9241,1
164,0.540513,12.6994,1
165,0.000021,13.3307,1
166,0.063691,12.586,1
167,0.061775,13.0289,1
168,0.089862,12.941,1
169,4.031903,13.2094,1
170,0.001832,12.8132,1
171,0.001139,12.9052,1
172,0.023868,12.0933,1
173,0.016874,12.6683,1
174,0.007241,13.2895,1
175,4.075140,13.0205,1
176,0.183728,12.6593,1
177,0.002612,12.8173,1
178,0.001233,13.4732,1
179,4.561088,13.1669,1
180,0.023559,12.7841,2
181,1.399681,13.0103,1
182,0.000209,13.2883,1
183,0.002454,13.224,1
184,0.003873,13.3981,1
185,0.026274,12.5092,1
186,0.750899,13.1794,1
187,0.061649,12.7919,1
188,4.876727,13.358,1
189,0.042675,12.3563,1
190,0.000160,13.1319,1
191,1.250012,12.1106,1
192,0.000386,12.7969,1
193,0.067242,12.9205,1
194,2.306879,12.8312,1
195,1.799402,13.1945,1
196,0.218014,12.7752,1
197,0.309150,13.3376,1
198,0.001644,12.8675,1
199,0.000144,12.9374,1
200,0.008841,12.2413,1
201,1.207638,12.8125,1
202,0.365369,12.7883,1
203,1.879628,13.0052,1
204,4.265161,12.7697,1
205,0.449955,12.7447,1
206,0.001247,12.6932,1
207,0.330731,13.2463,1
208,1.285056,12.559,1
209,2.758810,12.9618,1
210,3.902416,12.9469,1
211,2.967362,13.2583,1
212,0.253416,12.871,1
213,0.000323,13.1306,1
214,0.055241,13.1487,1
215,0.003837,12.2911,1
216,0.714475,13.075,1
217,1.026190,13.6052,1
218,2.809396,12.8442,1
219,1.794639,13.3395,1
220,3.954255,12.5094,1
221,0.000019,13.228,1
222,0.054215,13.4032,1
223,0.148058,12.7565,1
224,0.026890,12.6983,1
225,0.002195,12.7966,1
226,0.023473,13.6292,1
227,3.590621,13.4029,1
228,1.191265,13.0483,1
229,0.003198,13.5812,1
230,3.920443,13.6262,1
231,0.006899,12.8791,1
232,1.557554,13.4513,1
233,1.880891,13.6312,1
234,0.054336,12.9996,1
235,0.140930,13.5647,1
236,0.051215,13.3925,1
237,4.004987,13.923,1
238,1.705451,13.2365,1
239,0.000286,13.6519,1
240,0.305533,13.1684,1
241,0.000835,13.3366,1
242,0.003527,13.4248,1
243,0.130594,12.6196,1
244,0.001088,12.2904,1
245,0.008138,13.275,1
246,0.180482,13.036,1
247,0.012136,12.6718,1
