Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,3.727285,13.2993,3
2,0.242136,13.0893,1
3,2.486611,14.0611,7
4,1.062577,12.3007,2
5,0.010901,13.7099,1
6,0.083155,12.904,2
7,0.852554,12.6005,2
8,0.103161,12.6019,3
9,0.000260,13.8643,1
10,0.009340,14.2262,1
11,0.024137,13.2597,1
12,0.010751,13.8522,1
13,0.029372,12.9315,2
14,0.003433,13.2302,1
15,0.238238,13.1369,4
16,0.007350,13.0076,1
17,0.123010,13.4551,3
18,0.027747,13.1069,1
19,0.064686,12.6341,2
20,0.002785,12.6403,1
21,2.203006,13.0699,7
22,0.361103,13.0545,1
23,0.050543,12.5499,2
24,0.001306,12.7793,1
25,0.145077,12.9208,2
26,0.000813,12.0469,1
27,0.095834,12.337,1
28,0.035826,12.5151,1
29,0.371104,12.708,2
30,0.308308,13.3746,1
31,1.202720,12.3366,5
32,0.015434,13.1928,1
33,0.002354,12.3067,1
34,0.001948,12.6497,1
35,1.189868,12.1796,2
36,0.099990,12.5077,1
37,0.005026,13.1262,2
38,0.000047,13.4315,1
39,0.000433,13.1515,1
40,1.897424,12.9454,5
41,0.000272,12.4969,1
42,0.079686,12.9754,1
43,0.171744,12.3533,5
44,1.022676,12.1126,5
45,0.000638,12.3908,1
46,0.629729,12.8561,1
47,0.416276,12.5548,2
48,0.917233,12.7857,5
49,0.053572,12.9148,3
50,4.005440,12.4048,4
51,0.001177,13.3959,1
52,0.000169,12.4785,1
53,0.807517,12.1953,1
54,0.000442,12.2232,1
55,0.000176,13.505,1
56,0.000091,12.7014,1
57,0.010649,12.2554,1
58,0.312955,13.438,1
59,0.003324,13.2503,1
60,0.592462,13.344,4
61,0.803900,13.3393,1
62,0.000707,13.4804,1
63,0.000024,13.5172,1
64,0.019464,13.4605,1
65,3.243173,13.4213,4
66,0.006304,13.4028,2
67,2.680342,13.3692,1
68,0.164376,13.1468,1
69,0.076946,13.3709,1
70,0.000758,12.7281,1
71,0.000727,12.0873,1
72,0.772927,12.2322,2
73,0.235479,13.4737,1
74,1.845730,12.5754,4
75,0.000070,12.9924,1
76,0.288924,12.2958,6
77,0.137728,13.3519,1
78,0.483562,13.7011,4
79,0.892977,13.32,7
80,0.581249,13.341,1
81,0.137160,13.2777,1
82,0.000146,13.1527,1
83,0.637000,13.3991,4
84,0.285168,12.972,1
85,0.000108,13.0031,1
86,0.805057,13.5671,2
87,0.006674,12.5571,1
88,0.019338,13.366,2
89,0.398113,13.2719,1
90,2.270120,13.1479,3
91,0.067592,12.0653,2
92,0.005781,13.0742,1
93,0.820666,12.6762,3
94,0.017161,12.6267,1
95,1.225549,13.3863,5
96,1.713599,12.728,3
97,0.000899,12.5792,1
98,3.297935,12.977,2
99,0.739707,13.7665,3
100,0.758068,13.5105,3
101,0.000047,13.9273,1
102,0.035715,13.1744,1
103,0.081584,13.491,1
104,0.000094,14.3049,1
105,1.382484,14.0012,11
106,4.165975,13.9976,7
107,0.181077,14.1634,5
108,2.153499,13.6065,6
109,1.797788,14.1175,3
110,3.050745,13.4263,1
111,0.474206,13.0632,4
112,0.031195,13.1507,1
113,3.744079,12.7701,4
114,2.905089,13.3036,5
115,0.043533,13.0901,1
116,0.034312,12.718,1
117,0.000837,13.1802,1
118,3.307947,12.5266,8
119,0.095410,12.8365,1
120,0.001033,12.6935,1
121,0.003350,12.807,1
122,0.012032,12.6749,3
123,0.071711,12.5928,2
124,1.986349,12.2176,6
125,0.332778,12.8807,4
126,0.786500,12.4755,12
127,0.105777,13.1066,2
128,1.058223,12.7742,4
129,0.128016,12.5435,2
130,0.000043,12.9667,1
131,0.001024,12.6792,1
132,0.050829,13.0372,1
133,4.605905,12.662,3
134,0.001265,12.2025,1
135,0.000330,12.7341,1
136,2.822836,12.8829,5
137,0.000085,12.5049,1
138,1.426612,13.0249,2
139,0.000132,13.3454,1
140,0.903361,12.6212,4
141,0.421797,12.9792,1
142,0.000361,13.0726,1
143,0.003724,13.0117,1
144,0.005934,13.4076,1
145,1.047285,13.3561,6
146,0.019918,12.9268,1
147,0.540934,13.4837,3
148,0.388317,12.5552,3
149,0.010701,12.7933,1
150,0.001410,13.2871,2
151,0.211618,12.8068,4
152,0.060316,13.3501,3
153,1.264938,12.7321,8
154,0.005871,12.9309,4
155,0.000063,13.1472,1
156,0.000562,12.8322,1
157,0.000153,12.4018,1
158,0.000474,13.072,1
159,0.067485,12.0706,6
160,0.020758,12.169,2
161,0.035192,12.5407,1
162,3.927108,12.8896,4
163,0.000668,12.7899,1
164,0.000536,12.4872,1
165,0.189586,12.9956,2
166,0.227425,13.0427,5
167,4.248344,13.6603,7
168,2.131799,12.908,7
169,0.000372,12.8737,1
170,0.000178,13.4893,1
171,0.000139,13.1289,1
172,0.062027,13.5659,7
173,1.132790,13.59,7
174,3.166405,13.2951,2
175,0.745986,13.6306,4
176,2.993656,12.6061,9
177,1.287501,12.6486,2
178,0.125301,13.4838,1
179,2.742580,13.1444,5
180,0.018239,12.4548,1
181,0.064098,12.8117,2
182,0.000469,12.259,1
183,0.000073,13.6199,1
184,1.946773,12.8723,6
185,2.146498,12.388,2
186,0.039698,13.1487,1
187,0.386875,13.2074,1
188,0.000215,12.4103,1
189,0.073709,13.5655,1
190,0.472418,13.0321,2
191,0.063332,12.825,1
192,4.382007,12.6688,3
193,0.040424,12.8946,1
194,1.814538,12.797,10
195,0.037261,13.196,1
196,0.409034,12.1657,3
197,0.064541,13.0687,1
198,0.100177,12.7134,2
199,0.000130,12.5595,1
200,2.232671,12.6015,7
201,1.312497,12.9425,3
202,0.000790,12.4259,1
203,0.358093,13.1092,1
204,2.332928,12.9046,7
205,0.031251,12.0711,3
206,0.002724,13.1349,1
207,0.691548,12.0136,4
208,0.083204,12.4659,2
209,0.222802,12.9924,4
210,0.502459,12.6481,2
211,0.010176,12.1402,1
212,0.002128,12.3999,1
213,2.449749,12.1547,6
214,1.071671,12.7176,1
215,2.725456,13.2244,4
216,0.208846,12.5894,3
217,0.121469,12.1496,3
218,0.780496,12.5187,1
219,0.266773,11.8909,3
220,2.239897,12.3049,4
221,1.052149,12.1492,2
222,0.001335,12.8277,3
223,0.028683,12.7317,1
224,1.667747,13.005,2
225,0.981633,12.905,1
226,0.640429,12.5508,3
227,0.001188,12.5625,1
228,0.000874,12.4083,2
229,0.878987,12.4424,1
230,0.101934,12.8671,1
231,0.724790,12.416,7
