Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0251919,409863,true,2
2,0.0277566,8425,true,3
3,0.024327,79707,true,3
4,0.0161972,148562,true,2
5,0.016301,57706,true,2
6,0.0484787,96662,true,6
7,0.0162638,266248,true,2
8,0.0404074,108698,true,5
9,0.0325721,196124,true,4
10,0.0326083,18377,true,4
11,0.0324917,125335,true,4
12,0.0406526,77848,true,5
13,0.016728,131941,true,2
14,0.0325895,20166,true,4
15,0.0243216,17901,true,3
16,0.0325545,50242,true,4
17,0.0570649,180018,true,7
18,0.0244287,2832,true,3
19,0.040561,23791,true,5
20,0.0163133,61635,true,2
21,0.0244403,422856,true,3
22,0.0163163,582010,true,2
23,0.0163937,320255,true,2
24,0.0243892,192185,true,3
25,0.0487787,168609,true,6
26,0.0247016,60796,true,3
27,0.0245352,233332,true,3
28,0.0245555,178818,true,3
29,0.0245996,11044,true,3
30,0.032567,75588,true,4
31,0.0165012,126221,true,2
32,0.0326585,163279,true,4
33,0.0243926,132936,true,3
34,0.0164595,18414,true,2
35,0.0163396,344881,true,2
36,0.0246468,451168,true,3
37,0.0165566,116384,true,2
38,0.0165421,91115,true,2
39,0.024452,34560,true,3
40,0.0163983,332032,true,2
41,0.0325891,50733,true,4
42,0.0244584,2156,true,3
43,0.0892983,11997,true,11
44,0.0245238,3337,true,3
45,0.0164562,18422,true,2
46,0.0163554,188305,true,2
47,0.0489418,52575,true,6
48,0.0326892,161081,true,4
49,0.0163702,379001,true,2
50,0.0326969,429,true,4
51,0.0163724,70928,true,2
52,0.0405811,234805,true,5
53,0.0163521,124675,true,2
54,0.0488352,133457,true,6
55,0.0163347,62634,true,2
56,0.0406952,133140,true,5
57,0.040726,17166,true,5
58,0.016323,59377,true,2
59,0.0325825,44463,true,4
60,0.0246573,36212,true,3
61,0.0407528,34159,true,5
62,0.0245361,60140,true,3
63,0.0488248,97813,true,6
64,0.0245596,438718,true,3
65,0.0407758,192048,true,5
66,0.032896,44021,true,4
67,0.0167343,59370,true,2
68,0.0407387,234326,true,5
69,0.0163643,46858,true,2
70,0.065115,12340,true,8
71,0.0328272,367011,true,4
72,0.0326185,70584,true,4
73,0.057044,116852,true,7
74,0.0163895,40164,true,2
75,0.0571643,32649,true,7
76,0.0164258,58760,true,2
77,0.0247334,14283,true,3
78,0.0245417,75269,true,3
79,0.0164095,120530,true,2
80,0.0407459,10676,true,5
81,0.0163976,328833,true,2
82,0.0164346,332164,true,2
83,0.0164826,35685,true,2
84,0.0247448,305760,true,3
85,0.0164372,312421,true,2
86,0.0246789,155072,true,3
87,0.040722,122010,true,5
88,0.01646,120206,true,2
89,0.0165183,377110,true,2
90,0.0164118,4352,true,2
91,0.0490008,19083,true,6
92,0.033368,42430,true,4
93,0.040698,88182,true,5
94,0.0492463,277443,true,6
95,0.0576366,141789,true,7
96,0.0658475,1116,true,8
97,0.0165874,431274,true,2
98,0.0165366,454230,true,2
99,0.0248709,66667,true,3
100,0.0247864,409949,true,3
101,0.0246714,69584,true,3
102,0.0247811,141698,true,3
103,0.0329452,75683,true,4
104,0.016559,21944,true,2
105,0.0247269,254852,true,3
106,0.0329687,150631,true,4
107,0.041109,184296,true,5
108,0.0165494,199223,true,2
109,0.0330273,110276,true,4
110,0.0165551,174735,true,2
111,0.0329187,139076,true,4
112,0.016559,156895,true,2
113,0.0574725,12531,true,7
114,0.0411087,71144,true,5
115,0.0492449,78310,true,6
116,0.0165418,32724,true,2
117,0.0166226,164762,true,2
118,0.0166053,271022,true,2
119,0.0247612,162714,true,3
120,0.0247473,762,true,3
121,0.0330157,112909,true,4
122,0.0165624,357400,true,2
123,0.0166158,208230,true,2
124,0.0247185,106330,true,3
125,0.0331714,22382,true,4
126,0.0246198,144652,true,3
127,0.0505684,7535,true,6
128,0.0426104,62727,true,5
129,0.0171395,83470,true,2
130,0.0424935,6669,true,5
131,0.025598,92507,true,3
132,0.0171544,134485,true,2
133,0.0341906,3432,true,4
134,0.0171148,570689,true,2
135,0.0511177,10820,true,6
136,0.0171913,52915,true,2
137,0.0513015,13848,true,6
138,0.025554,54669,true,3
139,0.0425111,511,true,5
140,0.0341016,90840,true,4
141,0.0255837,201499,true,3
142,0.0172008,201873,true,2
143,0.0340841,170196,true,4
144,0.0258153,190085,true,3
