Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
229,0.005345,13.0569,2
230,0.010364,12.5238,1
231,0.729722,13.4453,1
232,3.348313,12.1738,1
233,0.055390,12.7363,1
234,0.001454,12.9917,1
235,0.384812,12.9183,3
236,0.006232,12.1577,2
237,0.263952,12.3795,1
238,1.430506,12.7607,1
239,1.747527,12.7354,1
240,0.846637,13.1622,1
241,0.024551,12.3584,5
242,1.246672,12.6109,2
243,0.000141,12.6723,2
244,0.000066,12.9977,2
245,2.857155,13.1158,2
246,0.000493,12.6013,2
247,2.109399,13.4892,1
248,0.846353,11.8,1
249,0.004220,13.3785,2
250,1.229121,12.5964,3
251,0.000337,12.9791,1
252,0.001099,13.2666,3
253,0.242058,13.1714,3
254,0.000445,13.0692,1
255,0.064966,13.1199,2
256,0.106685,12.6547,1
257,1.746483,13.6784,2
258,0.000024,13.2364,1
259,0.001069,12.6752,1
260,0.003405,13.502,1
261,1.930759,13.1242,3
262,0.431378,13.4787,2
263,0.000880,13.1365,1
264,0.003789,13.1315,3
265,0.647632,12.8214,1
266,0.039475,12.4404,1
267,0.000860,12.3454,2
268,0.052212,12.6439,1
269,0.461604,12.8132,1
270,0.004613,12.4215,1
271,5.246483,13.2279,2
272,0.003245,12.6247,2
273,0.665168,12.3217,3
274,0.259080,12.6886,3
275,0.015275,13.1534,2
276,0.008696,12.6973,2
277,0.593727,12.8599,2
278,4.031187,12.8043,1
279,0.008757,13.0601,1
280,0.534407,12.9388,1
281,0.004784,12.5471,2
282,0.001112,12.7393,2
283,5.033646,12.3381,1
284,0.000058,12.6189,1
285,0.000102,12.1157,3
286,0.000199,12.3752,2
287,3.603112,12.7099,2
288,1.073033,13.016,2
289,0.006706,12.9653,1
290,0.127395,13.2065,1
291,0.018208,12.6498,3
292,0.320245,12.921,3
293,0.357724,13.1768,2
294,0.380391,12.5403,1
295,0.096500,12.7148,1
296,1.235610,12.7901,4
297,0.000349,12.2562,2
298,1.349506,13.1439,1
299,2.640007,12.5516,2
300,2.542146,13.2196,1
301,0.474743,12.8664,1
302,0.304139,13.1294,1
303,0.094129,13.2487,3
304,0.003379,12.6657,1
305,0.000650,13.4378,2
306,1.663070,13.5366,4
307,0.150530,13.0416,1
308,0.000408,12.7198,3
309,0.000048,12.8672,1
310,0.360813,12.5721,2
311,4.491534,12.9708,2
312,0.011250,13.1249,1
313,0.000146,12.9083,4
314,2.193923,12.4872,2
315,0.002507,13.7753,2
316,0.012195,12.8228,3
317,0.340235,13.6668,3
318,1.790546,13.0323,2
319,0.000108,13.1528,2
320,3.228376,13.0146,1
321,0.000166,12.6176,4
322,0.000628,12.8687,1
323,2.191633,12.8052,3
324,0.178107,12.5758,1
325,0.038105,12.4634,2
326,0.049690,12.7261,1
327,0.365818,12.9476,1
328,1.521602,12.6097,2
329,0.076345,12.5091,2
330,0.707819,12.9122,1
331,0.013699,12.3391,2
332,0.146785,13.0924,3
333,0.001774,12.9723,1
334,0.000034,13.0035,1
335,1.495856,13.5079,1
336,0.811605,13.5537,1
337,4.396042,12.9003,1
338,0.189466,12.4101,1
339,2.050743,12.8587,1
340,0.002584,12.7083,2
341,2.919068,13.0967,1
342,0.000068,13.4836,2
343,0.035591,13.7793,2
344,0.000957,14.035,1
345,0.000511,13.8635,1
346,0.000508,12.691,2
347,1.365364,13.6728,3
348,0.000758,12.8812,1
349,0.000105,13.6251,2
350,0.002422,13.3627,2
351,0.000110,13.5078,2
352,1.390821,12.9368,3
353,0.006820,12.6756,1
354,2.777349,12.9705,1
355,0.477900,13.1022,3
356,0.013567,12.7298,2
357,0.461146,13.2436,1
358,1.687383,13.3987,1
359,0.258857,13.0871,1
360,0.000313,12.7145,1
361,0.004679,12.824,2
362,1.433960,12.4677,2
363,0.351613,12.5001,2
364,0.236559,13.0037,4
365,3.487841,12.3789,2
366,1.412647,11.9094,2
367,0.389487,12.6963,1
368,0.001416,12.4611,1
369,3.024427,13.0914,1
370,0.056877,12.4714,2
371,0.009262,12.8603,1
372,0.001040,12.8828,1
373,3.498918,12.7484,2
374,0.209324,13.1445,4
375,0.139770,12.6052,3
376,2.780991,12.7136,1
377,0.000022,12.4965,3
378,0.326678,12.7074,2
379,3.081920,12.3256,2
380,1.190127,12.809,2
381,1.290694,13.1116,1
382,0.065528,12.7594,4
383,0.005813,12.6012,2
384,0.801827,13.1059,2
385,4.665482,12.3115,1
386,0.007432,11.9349,1
387,0.677635,12.5916,2
388,0.002998,13.4766,2
389,0.596435,12.2696,2
390,0.012835,12.5174,1
391,0.006484,12.6939,2
392,2.773176,13.3334,2
393,0.045230,13.4657,2
394,1.305722,12.9478,3
395,2.100766,12.6632,2
396,1.459212,12.7643,2
397,0.286039,12.7038,2
398,0.011798,13.4502,2
399,0.357201,12.8681,2
400,0.003893,12.8946,1
401,0.000523,13.131,2
402,5.347940,12.8314,2
403,0.028899,12.6796,1
404,0.002700,13.2833,2
405,0.001043,12.8594,1
406,0.000080,13.2542,1
407,0.689458,13.2403,3
408,0.004835,12.4738,2
409,0.047402,12.4324,2
410,3.936603,12.8359,1
411,0.125168,12.4685,1
412,0.001855,12.5168,3
413,0.022525,12.9562,1
414,0.433829,12.4716,1
415,0.016985,13.0717,3
416,0.048237,13.4097,1
417,0.001457,12.849,1
418,1.512931,12.8985,1
419,0.383161,12.4742,2
420,1.724995,13.3572,2
421,1.284401,13.4604,3
422,0.001155,13.2951,2
423,0.059341,12.6941,2
424,2.022420,12.9849,4
425,0.002548,13.2135,2
426,0.000173,12.8872,2
427,0.000871,13.5439,1
428,0.002556,12.9036,2
429,4.557091,12.9476,2
430,0.000339,13.059,2
431,5.056274,12.1994,1
432,0.010016,12.8364,2
433,0.012418,12.6448,1
434,0.017779,12.9176,3
435,0.001734,13.309,3
436,5.019819,12.7365,1
437,0.006192,12.9967,3
438,0.717246,13.2249,1
439,0.011579,12.299,2
440,0.008976,13.1748,3
441,0.023629,12.3445,3
442,0.002486,12.8081,2
443,0.021173,12.4611,1
444,0.020741,12.971,2
445,2.401678,12.2097,2
446,0.034336,12.2454,1
447,3.002146,12.5673,3
448,0.000473,12.532,2
449,0.000059,12.8684,3
450,4.264518,12.7255,2
451,1.140627,12.5291,1
452,0.000532,12.8369,2
453,0.099927,13.2454,2
454,0.710260,13.3058,2
455,1.089254,12.9614,3
456,0.098498,12.7113,2
457,2.893031,13.034,1
458,0.004567,13.7777,2
459,0.017022,12.7187,2
460,0.002858,13.2634,1
461,0.014074,12.75,1
462,0.018539,13.3614,2
463,0.771171,12.8236,1
464,0.408013,13.0243,4
465,1.039728,12.5749,3
466,0.061152,12.4788,2
467,0.004093,12.4235,1
468,0.000124,13.2147,1
469,0.009409,13.2346,1
470,0.013470,13.2569,1
471,0.015091,12.5277,2
472,4.595953,12.9622,1
473,2.697636,12.8596,2
474,0.018626,12.8622,2
475,0.585950,13.2449,2
476,0.156488,13.2114,2
477,0.447894,13.4574,3
478,0.000098,12.9859,1
479,0.027885,13.2302,2
480,0.016457,12.7146,4
481,1.089528,13.103,3
482,0.072029,12.8251,1
483,0.004226,12.8993,2
484,0.410970,13.3186,2
485,2.262237,13.4161,2
486,0.002414,12.9484,2
487,0.001143,12.9576,4
