Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0595519,97,true,7
2,0.059662,156,true,7
3,0.0510992,20,true,6
4,0.0513801,4,true,6
5,0.0172805,331,true,2
6,0.0683887,28,true,8
7,0.025681,75,true,3
8,0.0426507,62,true,5
9,0.017205,49,true,2
10,0.0426873,20,true,5
11,0.0171608,31,true,2
12,0.0427106,23,true,5
13,0.0599476,21,true,7
14,0.0608361,101,true,7
15,0.0428984,33,true,5
16,0.0172681,144,true,2
17,0.0513138,43,true,6
18,0.0512696,6,true,6
19,0.0602225,62,true,7
20,0.0681238,13,true,8
21,0.0427508,13,true,5
22,0.0257524,106,true,3
23,0.0341803,11,true,4
24,0.0595691,42,true,7
25,0.01731,285,true,2
26,0.0596711,71,true,7
27,0.0684233,4,true,8
28,0.0310019,264,true,3
29,0.0592845,4,true,7
30,0.0510367,22,true,6
31,0.0425425,50,true,5
32,0.0171834,78,true,2
33,0.0598915,8,true,7
34,0.0256198,170,true,3
35,0.0428331,52,true,5
36,0.0342756,168,true,4
37,0.042694,43,true,5
38,0.0765829,5,true,9
39,0.0256835,12,true,3
40,0.0712106,13,true,8
41,0.0853867,0,false,10
42,0.0514387,43,true,6
43,0.0427883,11,true,5
44,0.0172757,1112,true,2
45,0.0343961,24,true,4
46,0.102307,6,true,12
47,0.0594701,34,true,7
48,0.0171464,582,true,2
49,0.0172215,609,true,2
50,0.0510862,88,true,6
51,0.0683411,4,true,8
52,0.0512069,2,true,6
53,0.0601148,0,false,7
54,0.0258248,22,true,3
55,0.025724,22,true,3
56,0.0341771,116,true,4
57,0.0428262,370,true,5
58,0.0425839,4,true,5
59,0.0344129,22,true,4
60,0.0257147,272,true,3
61,0.0513223,10,true,6
62,0.034166,2,true,4
63,0.0257111,42,true,3
64,0.0596747,2,true,7
65,0.0513002,65,true,6
66,0.0428099,4,true,5
67,0.0258333,18,true,3
68,0.0172382,77,true,2
69,0.0256768,384,true,3
70,0.0341794,143,true,4
71,0.0686822,3,true,8
72,0.0679262,3,true,8
73,0.03414,33,true,4
74,0.0432856,38,true,5
75,0.0257443,40,true,3
76,0.0769119,5,true,9
77,0.0354286,149,true,4
78,0.0513985,16,true,6
79,0.0426709,25,true,5
80,0.068384,14,true,8
81,0.0171602,199,true,2
82,0.0256402,28,true,3
83,0.0596392,21,true,7
84,0.0444599,10,true,5
85,0.0172641,47,true,2
86,0.0427368,26,true,5
87,0.0255478,93,true,3
88,0.0595234,7,true,7
89,0.0425433,2,true,5
90,0.051158,1,true,6
91,0.0256192,425,true,3
92,0.0257884,5,true,3
93,0.0341784,61,true,4
94,0.0514555,12,true,6
95,0.0600033,180,true,7
96,0.0431357,71,true,5
97,0.0596865,0,false,7
98,0.0175904,12,true,2
99,0.0260993,117,true,3
100,0.0764784,22,true,9
101,0.0431185,78,true,5
102,0.0510931,40,true,6
103,0.0345089,102,true,4
104,0.0792598,72,true,9
105,0.102292,46,true,12
106,0.059708,163,true,7
107,0.0425881,48,true,5
108,0.0342737,44,true,4
109,0.076487,14,true,9
110,0.0595066,48,true,7
111,0.03419,35,true,4
112,0.0171725,1,true,2
113,0.0257,802,true,3
114,0.0765013,12,true,9
115,0.0427804,16,true,5
116,0.0596566,63,true,7
117,0.0172487,37,true,2
118,0.017239,1,true,2
119,0.0256063,83,true,3
120,0.0258227,32,true,3
121,0.0426167,49,true,5
122,0.0342524,7,true,4
123,0.0172067,57,true,2
124,0.0262736,14,true,3
125,0.0763774,158,true,9
126,0.0764013,113,true,9
127,0.0340935,63,true,4
128,0.0512075,9,true,6
129,0.0427901,59,true,5
130,0.0597138,149,true,7
131,0.0763262,22,true,9
132,0.0259513,17,true,3
133,0.025766,92,true,3
134,0.0255636,57,true,3
135,0.0514219,25,true,6
136,0.0260851,22,true,3
137,0.0595686,7,true,7
138,0.0511927,38,true,6
139,0.0426793,76,true,5
140,0.0679865,2,true,8
141,0.0933003,32,true,11
142,0.0511603,33,true,6
143,0.0256394,92,true,3
144,0.0257211,36,true,3
145,0.0596795,65,true,7
146,0.0257578,110,true,3
147,0.0342168,116,true,4
148,0.0256229,252,true,3
149,0.084943,18,true,10
150,0.0510747,5,true,6
151,0.0762667,6,true,9
152,0.0171176,279,true,2
153,0.0902339,0,false,10
154,0.0435764,19,true,5
155,0.051264,23,true,6
156,0.0342692,180,true,4
157,0.0343924,30,true,4
158,0.0503532,10,true,5
159,0.0257705,4,true,3
160,0.017249,58,true,2
161,0.0257348,223,true,3
