Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,3.036460,13.0431,1
2,2.748624,13.2657,1
3,0.000229,13.0706,1
4,0.007281,12.3043,1
5,0.734095,11.842,1
6,0.043678,12.1302,1
7,3.089516,12.9465,1
8,1.236848,12.3205,1
9,2.654987,12.937,1
10,0.000149,12.663,1
11,0.003694,12.787,1
12,0.086769,12.7665,1
13,4.471336,12.7256,1
14,0.921384,12.8147,1
15,0.404856,11.7446,1
16,4.473863,12.2247,1
17,3.376873,12.5832,1
18,0.000138,12.268,1
19,4.942385,12.599,1
20,0.158122,12.2625,1
21,0.017588,11.8938,1
22,0.004311,12.1904,1
23,0.003005,13.0839,1
24,5.325749,13.0096,1
25,0.010287,12.8103,1
26,1.114590,12.9342,1
27,0.879086,12.3995,1
28,3.176859,12.3611,1
29,1.682848,12.8159,1
30,0.820537,12.2964,1
31,1.226746,13.0099,1
32,3.564946,11.6136,1
33,0.033576,12.8941,1
34,0.466269,13.0922,1
35,0.616497,12.4353,1
36,1.296313,12.7642,1
37,0.000662,12.5134,1
38,0.010363,12.3025,1
39,0.002668,12.1775,1
40,0.001057,12.069,1
41,0.244379,12.2316,1
42,0.247004,12.147,1
43,0.009670,12.7272,1
44,0.232793,12.0904,1
45,0.004896,13.2806,1
46,2.753316,13.1457,1
47,0.043223,13.3033,1
48,0.475093,14.1331,1
49,0.402886,13.9016,1
50,0.023061,13.4688,1
51,0.000523,13.8413,1
52,0.052426,13.1158,1
53,0.007508,13.0609,1
54,0.045091,13.3435,1
55,0.000469,13.3348,1
56,0.265491,12.8522,1
57,0.045313,13.233,1
58,3.952552,12.9958,1
59,1.041443,12.5537,1
60,3.642404,12.6982,1
61,0.000299,13.2245,1
62,1.968136,12.7002,1
63,0.024617,12.8734,1
64,0.108738,13.1872,1
65,0.001121,13.6683,1
66,1.642645,13.3415,1
67,0.002194,13.3365,1
68,4.783142,13.1841,1
69,2.530784,12.7588,1
70,0.351851,13.0624,1
71,1.180757,13.2781,1
72,2.815604,13.206,1
73,0.958150,13.2156,1
74,0.514997,12.7013,1
75,0.000486,12.5888,1
76,0.002023,12.9077,1
77,0.389443,13.7471,1
78,0.322811,12.6407,1
79,1.704178,12.7035,1
80,0.069604,12.8115,1
81,1.766393,13.2608,1
82,1.194425,13.1668,1
83,0.147930,13.4773,1
84,0.238752,13.0587,1
85,4.167904,13.2284,1
86,1.260492,13.1519,1
87,1.606789,12.5398,1
88,0.015067,13.0797,1
89,0.208870,12.9813,1
90,0.000863,12.9419,1
91,0.003139,12.9281,1
92,0.002260,12.9767,1
93,0.023031,13.0053,1
94,0.030778,11.8774,1
95,0.020031,12.9954,1
96,2.883168,13.8004,1
97,0.002803,13.5222,1
98,4.119759,13.1918,1
99,2.337720,13.0247,1
100,0.027727,13.1863,1
101,3.692299,13.5022,1
102,0.483669,13.1005,1
103,0.000166,13.0305,1
104,4.899004,13.2151,1
105,2.668806,13.3642,1
106,0.927218,12.4007,1
