Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
352,0.0678644,1,true,8
353,0.042297,2,true,5
354,0.0255269,51,true,3
355,0.026141,45,true,3
356,0.0343068,25,true,4
357,0.0172005,32,true,2
358,0.0173095,161,true,2
359,0.0181634,7,true,2
360,0.0260401,10,true,3
361,0.0172329,5,true,2
362,0.0624124,5,true,7
363,0.0172875,14,true,2
364,0.0286898,97,true,3
365,0.0421069,2,true,5
366,0.0422851,3,true,5
367,0.0342138,4,true,4
368,0.0435307,1,true,5
369,0.0171796,23,true,2
370,0.042447,3,true,5
371,0.0343103,11,true,4
372,0.0171455,66,true,2
373,0.0343126,4,true,4
374,0.0218243,36,true,2
375,0.0236976,15,true,2
376,0.0196181,48,true,2
377,0.0194049,15,true,2
378,0.0283067,33,true,3
379,0.0534647,8,true,5
380,0.0402345,4,true,4
381,0.0218312,10,true,2
382,0.0232038,38,true,2
383,0.0463433,1,true,5
384,0.0451399,5,true,5
385,0.017601,42,true,2
386,0.0341265,14,true,4
387,0.0256703,2,true,3
388,0.0193794,32,true,2
389,0.0257869,2,true,3
390,0.0256542,10,true,3
391,0.0512859,9,true,6
392,0.0179635,15,true,2
393,0.0610209,19,true,7
394,0.0258962,5,true,3
395,0.0511233,6,true,6
396,0.0509513,17,true,6
397,0.0171473,1,true,2
398,0.0256068,3,true,3
399,0.000214125,0,false,0
400,0.0180126,45,true,2
401,0.0596523,2,true,7
402,0.0255327,12,true,3
403,0.0339334,3,true,4
404,0.0424448,8,true,5
405,0.0255256,11,true,3
406,0.0171608,17,true,2
407,0.0341372,11,true,4
408,0.000211292,0,false,0
409,0.0254928,16,true,3
410,0.033959,6,true,4
411,0.0171383,55,true,2
412,0.0170918,37,true,2
413,0.0170868,9,true,2
414,0.0339773,17,true,4
415,0.0172294,3,true,2
416,0.0256162,14,true,3
417,0.0174683,42,true,2
418,0.0424638,22,true,5
419,0.0171005,4,true,2
420,0.0255302,7,true,3
421,0.0255295,10,true,3
422,0.076264,7,true,9
423,0.034003,49,true,4
424,0.025598,40,true,3
425,0.0683365,10,true,8
426,0.0172272,3,true,2
427,0.0444917,21,true,5
428,0.0255662,22,true,3
429,0.0340254,9,true,4
430,0.0339747,5,true,4
431,0.0423925,5,true,5
432,0.0339749,12,true,4
433,0.0510159,9,true,6
434,0.0509214,8,true,6
435,0.0170912,5,true,2
436,0.0171892,26,true,2
437,0.0339868,21,true,4
438,0.0170958,75,true,2
439,0.0171454,2,true,2
440,0.017077,55,true,2
441,0.0508315,33,true,6
442,0.0171112,3,true,2
443,0.0171213,3,true,2
444,0.0255408,13,true,3
445,0.0170989,6,true,2
446,0.0255747,50,true,3
447,0.0170866,16,true,2
448,0.0255706,27,true,3
449,0.0255319,10,true,3
450,0.0342699,35,true,4
451,0.0508652,24,true,6
452,0.0509151,9,true,6
453,0.0170944,3,true,2
454,0.0510297,7,true,6
455,0.017076,3,true,2
456,0.0255737,77,true,3
457,0.0339938,26,true,4
458,0.0171235,21,true,2
459,0.0171304,26,true,2
460,0.0508557,1,true,6
461,0.00865213,0,false,1
462,0.0339984,7,true,4
463,0.0424223,1,true,5
464,0.0255832,0,false,3
465,0.017077,10,true,2
466,0.0171033,31,true,2
467,0.042585,5,true,5
468,0.0178895,1,true,2
469,0.0341412,13,true,4
470,0.026111,30,true,3
471,0.0344154,0,false,4
472,0.0170606,4,true,2
473,0.0511172,8,true,6
474,0.0171267,93,true,2
475,0.0171047,31,true,2
476,0.0255028,4,true,3
477,0.0508443,15,true,6
478,0.0170723,30,true,2
479,0.0339862,41,true,4
480,0.0171439,6,true,2
481,0.0424537,7,true,5
482,0.0425332,4,true,5
483,0.0509084,31,true,6
484,0.0255549,3,true,3
485,0.0423456,1,true,5
486,0.0424595,55,true,5
487,0.0170966,8,true,2
488,0.025539,25,true,3
489,0.0423901,15,true,5
490,0.0339765,58,true,4
491,0.017069,3,true,2
492,0.0339933,84,true,4
493,0.0255202,29,true,3
494,0.017106,6,true,2
495,0.0172231,20,true,2
496,0.0255564,8,true,3
497,0.0171375,0,false,2
498,0.0170669,34,true,2
499,0.0423889,1,true,5
500,0.0339817,4,true,4
501,0.0170899,62,true,2
502,0.017135,20,true,2
503,0.0171236,42,true,2
504,0.0257548,21,true,3
505,0.0256831,8,true,3
506,0.0509134,13,true,6
507,0.0255505,13,true,3
508,0.067659,19,true,8
509,0.0342635,4,true,4
510,0.017145,18,true,2
511,0.0171153,98,true,2
512,0.0171525,5,true,2
513,0.0424953,1,true,5
514,0.0254966,7,true,3
515,0.0171421,73,true,2
516,0.0254772,28,true,3
517,0.0425141,2,true,5
518,0.0255631,12,true,3
519,0.0255813,10,true,3
520,0.0339635,12,true,4
521,0.0424401,8,true,5
522,0.0171344,29,true,2
523,0.0339821,17,true,4
524,0.0256099,4,true,3
525,0.0425007,6,true,5
526,0.034011,5,true,4
527,0.0170729,1,true,2
528,0.0170899,46,true,2
529,0.0339672,12,true,4
530,0.0171583,6,true,2
531,0.0254505,4,true,3
532,0.0339573,32,true,4
533,0.0256495,1,true,3
534,0.0171195,12,true,2
535,0.0424161,4,true,5
536,0.0170928,21,true,2
537,0.0255813,20,true,3
538,0.0170898,25,true,2
539,0.0171495,7,true,2
540,0.0170287,11,true,2
541,0.0424573,5,true,5
542,0.0170302,17,true,2
543,0.0171785,16,true,2
544,0.0513141,15,true,6
545,0.0371133,13,true,4
546,0.0253736,138,true,3
547,0.0513261,5,true,6
548,0.0171177,10,true,2
549,0.0338862,6,true,4
550,0.0172201,32,true,2
551,0.0255342,15,true,3
552,0.0171399,7,true,2
553,0.0171481,7,true,2
554,0.0176634,5,true,2
555,0.069452,2,true,8
556,0.0173279,37,true,2
557,0.0173255,23,true,2
558,0.0174166,49,true,2
559,0.0427817,11,true,5
560,0.0256129,9,true,3
561,0.017126,12,true,2
562,0.0171112,24,true,2
563,0.0258071,7,true,3
564,0.0341012,16,true,4
565,0.0171934,17,true,2
566,0.0513736,3,true,6
567,0.0171429,2,true,2
568,0.0510951,4,true,6
569,0.0423664,29,true,5
570,0.0255096,8,true,3
571,0.0680926,30,true,8
572,0.0341241,22,true,4
573,0.025563,2,true,3
574,0.0171528,3,true,2
575,0.0266501,2,true,3
576,0.0341384,8,true,4
577,0.0258744,33,true,3
578,0.0259015,25,true,3
579,0.0677201,11,true,8
580,0.0339589,36,true,4
581,0.0171288,2,true,2
582,0.0423467,7,true,5
583,0.0171068,26,true,2
584,0.0171307,43,true,2
585,0.0171698,4,true,2
586,0.0171361,22,true,2
587,0.0267754,2,true,3
588,0.0279285,33,true,3
589,0.0264878,30,true,3
590,0.0427504,2,true,5
591,0.0341506,19,true,4
592,0.0340359,20,true,4
593,0.0171177,20,true,2
594,0.0342347,1,true,4
595,0.0427755,55,true,5
596,0.0172318,5,true,2
597,0.0172893,10,true,2
598,0.0341357,39,true,4
599,0.0171161,31,true,2
600,0.0171232,0,false,2
601,0.0257183,63,true,3
602,0.0255524,52,true,3
603,0.0339326,3,true,4
604,0.042513,3,true,5
605,0.017137,69,true,2
606,0.0677413,32,true,8
607,0.017292,34,true,2
608,0.0513185,3,true,6
609,0.017182,17,true,2
610,0.0341743,14,true,4
611,0.051336,1,true,6
612,0.00870017,0,false,1
613,0.034082,16,true,4
614,0.0510618,1,true,6
615,0.0257388,18,true,3
616,0.0511116,28,true,6
617,0.0171447,29,true,2
618,0.0172106,22,true,2
619,0.0171506,10,true,2
620,0.0172207,3,true,2
621,0.017188,20,true,2
622,0.0173059,16,true,2
623,0.0172615,10,true,2
624,0.0257859,83,true,3
625,0.0597227,34,true,7
626,0.0341091,12,true,4
627,0.0510848,10,true,6
628,0.0256782,24,true,3
629,0.0171656,44,true,2
630,0.0171734,37,true,2
631,0.0426018,18,true,5
632,0.0342287,6,true,4
633,0.0171618,7,true,2
634,0.0341789,29,true,4
635,0.0424423,41,true,5
636,0.0594802,7,true,7
637,0.0255204,26,true,3
638,0.033982,9,true,4
639,0.0512148,7,true,6
640,0.0256394,12,true,3
641,0.0424816,18,true,5
642,0.0426543,12,true,5
643,0.0171698,2,true,2
644,0.0613009,4,true,7
645,0.0259527,11,true,3
646,0.0258082,68,true,3
647,0.0172383,23,true,2
648,0.0514147,1,true,6
649,0.0171922,6,true,2
650,0.0258181,2,true,3
651,0.0344163,14,true,4
652,0.0180005,19,true,2
653,0.0428285,28,true,5
654,0.0256467,7,true,3
655,0.0273537,5,true,3
656,0.0341088,5,true,4
657,0.0170805,19,true,2
658,0.034031,62,true,4
659,0.0254907,11,true,3
660,0.0256004,1,true,3
661,0.0341349,5,true,4
662,0.0436693,1,true,5
663,0.0257616,1,true,3
664,0.0340226,14,true,4
665,0.0256007,17,true,3
666,0.0171587,16,true,2
667,0.0340284,22,true,4
668,0.0255135,24,true,3
669,0.0425338,5,true,5
670,0.0171332,16,true,2
671,0.0256645,9,true,3
672,0.0255707,1,true,3
673,0.0172115,8,true,2
674,0.0425755,11,true,5
675,0.0171622,2,true,2
676,0.025685,0,false,3
677,0.0172383,7,true,2
678,0.0427299,6,true,5
679,0.0261325,19,true,3
680,0.0200589,24,true,2
681,0.0418017,22,true,4
682,0.017403,28,true,2
683,0.0173695,58,true,2
684,0.0600266,2,true,7
685,0.0172563,2,true,2
686,0.017184,19,true,2
687,0.0510809,2,true,6
688,0.0340103,3,true,4
689,0.0426714,6,true,5
690,0.025655,8,true,3
691,0.0173611,4,true,2
692,0.0171462,21,true,2
693,0.03451,14,true,4
694,0.017176,1,true,2
695,0.025677,11,true,3
696,0.0255093,3,true,3
697,0.0425569,1,true,5
698,0.0255292,7,true,3
699,0.0508693,10,true,6
700,0.0340801,8,true,4
701,0.0171968,0,false,2
702,0.035771,12,true,4
703,0.0265095,12,true,3
704,0.0274601,7,true,3
705,0.0182963,5,true,2
706,0.0175149,1,true,2
707,0.0256132,23,true,3
708,0.0340963,38,true,4
709,0.0509346,7,true,6
710,0.0510479,1,true,6
711,0.025635,8,true,3
712,0.0424812,13,true,5
713,0.0340609,17,true,4
714,0.0171225,32,true,2
715,0.0511006,4,true,6
716,0.033987,10,true,4
717,0.0341631,7,true,4
718,0.025603,73,true,3
719,0.0171513,59,true,2
720,0.017127,36,true,2
721,0.0424529,3,true,5
722,0.0340368,7,true,4
723,0.0255058,9,true,3
724,0.0339598,32,true,4
725,0.0423285,35,true,5
726,0.0424354,11,true,5
727,0.0508739,26,true,6
728,0.0171104,77,true,2
729,0.0171858,56,true,2
730,0.0424985,7,true,5
731,0.0340636,8,true,4
732,0.0339939,5,true,4
733,0.0255558,13,true,3
734,0.0171818,48,true,2
735,0.0170798,25,true,2
736,0.0339737,9,true,4
737,0.0340206,0,false,4
738,0.0425467,4,true,5
739,0.0170959,17,true,2
740,0.0339501,13,true,4
741,0.0341552,2,true,4
742,0.000214584,0,false,0
743,0.0255557,9,true,3
744,0.017137,9,true,2
745,0.00865408,0,false,1
746,0.0344709,31,true,4
747,0.0178096,69,true,2
748,0.0267535,7,true,3
749,0.017835,9,true,2
