Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0249447,2085,true,3
2,0.0420245,45,true,5
3,0.0253344,1449,true,3
4,0.0170047,1730,true,2
5,0.0171768,1850,true,2
6,0.0254517,1616,true,3
7,0.0169287,3750,true,2
8,0.0169344,1649,true,2
9,0.0589187,2630,true,7
10,0.0254907,643,true,3
11,0.0253523,110,true,3
12,0.0169236,124,true,2
13,0.0422804,589,true,5
14,0.0420017,6634,true,5
15,0.0432974,959,true,5
16,0.0284785,641,true,3
17,0.0178653,814,true,2
18,0.0179332,1392,true,2
19,0.0368795,198,true,4
20,0.017562,342,true,2
21,0.0598898,485,true,7
22,0.0258462,783,true,3
23,0.0511835,902,true,6
24,0.0343101,158,true,4
25,0.0345805,3630,true,4
26,0.051614,2570,true,6
27,0.0257798,386,true,3
28,0.017306,3901,true,2
29,0.0343338,2298,true,4
30,0.017315,490,true,2
31,0.0248461,6443,true,3
32,0.0249561,2577,true,3
33,0.0252619,1105,true,3
34,0.0252754,1346,true,3
35,0.00863179,0,false,1
36,0.0168971,5277,true,2
37,0.0503222,627,true,6
38,0.0503152,433,true,6
39,0.033568,127,true,4
40,0.0169391,5691,true,2
41,0.0419727,223,true,5
42,0.0168431,5108,true,2
43,0.0167607,269,true,2
44,0.0417696,1158,true,5
45,0.0167131,1670,true,2
46,0.0169845,5620,true,2
47,0.0421878,577,true,5
48,0.0422285,1703,true,5
49,0.025265,1783,true,3
50,0.025199,5587,true,3
51,0.0253539,2038,true,3
52,0.0421512,10,true,5
53,0.0169555,1041,true,2
54,0.0419231,1329,true,5
55,0.0417882,214,true,5
56,0.0167888,302,true,2
57,0.0168681,512,true,2
58,0.0170241,2836,true,2
59,0.0252294,3993,true,3
60,0.0168844,10697,true,2
61,0.0252292,3591,true,3
62,0.0168603,1010,true,2
63,0.0171337,450,true,2
64,0.0170311,990,true,2
65,0.0169915,4033,true,2
66,0.0169912,678,true,2
67,0.0169535,421,true,2
68,0.0168671,5763,true,2
69,0.0168891,3084,true,2
70,0.0168539,1763,true,2
71,0.0336617,1514,true,4
72,0.0168904,3380,true,2
73,0.0252048,1506,true,3
74,0.0252442,5792,true,3
75,0.0253869,3239,true,3
76,0.0337026,275,true,4
77,0.016968,974,true,2
78,0.0334092,552,true,4
79,0.0167721,3876,true,2
80,0.0337456,1183,true,4
81,0.0169556,1174,true,2
82,0.0254343,5894,true,3
83,0.0336947,2838,true,4
84,0.0170762,6334,true,2
85,0.0169272,2882,true,2
86,0.0170347,9279,true,2
87,0.0169712,782,true,2
88,0.033637,2752,true,4
89,0.0346342,1497,true,4
90,0.0168258,4491,true,2
91,0.0167803,1663,true,2
92,0.0291378,1464,true,3
93,0.0628453,1327,true,7
94,0.0174268,894,true,2
95,0.0169342,3720,true,2
96,0.0169245,994,true,2
97,0.0419948,2593,true,5
98,0.0422471,1313,true,5
99,0.0423054,25,true,5
100,0.0262653,2450,true,3
101,0.0437354,2991,true,2
102,0.0464603,907,true,4
103,0.023744,609,true,2
104,0.0216045,11488,true,2
105,0.0612577,1029,true,6
106,0.025489,486,true,2
107,0.0246325,1045,true,2
108,0.0329546,6156,true,3
109,0.036277,247,true,3
110,0.0182979,1013,true,2
111,0.0720223,384,true,7
112,0.0194179,4808,true,2
113,0.055532,1096,true,6
114,0.0351006,3671,true,4
115,0.0438757,2872,true,5
116,0.0480088,947,true,5
117,0.026355,1016,true,3
118,0.0343275,1685,true,4
119,0.0426178,1461,true,5
120,0.0257366,1152,true,3
121,0.0341294,498,true,4
122,0.0426266,444,true,5
123,0.0424544,3504,true,5
124,0.0257754,3074,true,3
125,0.0340383,599,true,4
126,0.0340122,7406,true,4
127,0.0255967,1202,true,3
128,0.0424911,1943,true,5
129,0.0338891,3313,true,4
130,0.0172352,4560,true,2
131,0.0256941,3286,true,3
132,0.0255983,258,true,3
133,0.0171603,5069,true,2
134,0.0171348,168,true,2
135,0.0172125,2110,true,2
136,0.0170951,4104,true,2
137,0.0172822,4219,true,2
138,0.0257204,3872,true,3
139,0.0425165,1723,true,5
140,0.0256498,561,true,3
141,0.034012,1014,true,4
142,0.043644,218,true,5
143,0.0172227,1944,true,2
144,0.0247859,1202,true,3
145,0.0452156,1921,true,5
146,0.0253818,1854,true,3
147,0.0170126,1754,true,2
148,0.0254055,3589,true,3
149,0.0505254,286,true,6
150,0.0253805,67,true,3
151,0.0169164,971,true,2
152,0.0337353,345,true,4
153,0.0337044,2715,true,4
154,0.0169061,2624,true,2
155,0.0255217,5349,true,3
156,0.0254128,1521,true,3
157,0.0337352,1199,true,4
158,0.0336014,2760,true,4
159,0.0254502,2066,true,3
160,0.0169842,2252,true,2
161,0.0169988,4842,true,2
162,0.0169715,927,true,2
163,0.058715,608,true,7
164,0.0335345,918,true,4
165,0.0421407,338,true,5
166,0.025283,563,true,3
167,0.01707,6404,true,2
168,0.0254772,67,true,3
169,0.0337321,1769,true,4
170,0.0336371,645,true,4
171,0.0504315,147,true,6
172,0.0335845,545,true,4
173,0.0420567,2111,true,5
174,0.0335545,1364,true,4
175,0.0252497,1387,true,3
176,0.0421245,50,true,5
177,0.0251014,341,true,3
178,0.0417902,1374,true,5
179,0.0333994,1880,true,4
180,0.0334435,3489,true,4
181,0.0251241,2951,true,3
182,0.0418702,592,true,5
183,0.0337023,1325,true,4
184,0.0250707,52,true,3
185,0.016797,4503,true,2
186,0.0417603,65,true,5
187,0.0250963,1181,true,3
188,0.0168476,1726,true,2
189,0.050026,2554,true,6
190,0.0499393,1324,true,6
191,0.0250386,3877,true,3
192,0.0252461,729,true,3
193,0.0168068,384,true,2
194,0.0168643,2405,true,2
195,0.0510189,242,true,6
196,0.0270895,1296,true,3
197,0.025815,1455,true,3
198,0.0343524,605,true,4
199,0.0173884,448,true,2
200,0.0172119,7587,true,2
201,0.0337648,638,true,4
202,0.017053,5494,true,2
203,0.0171606,3608,true,2
204,0.0170325,4466,true,2
205,0.0170348,84,true,2
